unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1630022400000,2021-08-27 00:00:00,BTT/USDT,0.00395700,0.00428900,0.00382400,0.00428700,9368834699.00000000,37798760.28486270,102378
1629936000000,2021-08-26 00:00:00,BTT/USDT,0.00426660,0.00437440,0.00389700,0.00395500,8700399757.00000000,35464818.32742600,108494
1629849600000,2021-08-25 00:00:00,BTT/USDT,0.00417650,0.00429990,0.00400920,0.00426700,8061448168.00000000,33865210.49169410,93615
1629763200000,2021-08-24 00:00:00,BTT/USDT,0.00448370,0.00453440,0.00407120,0.00417650,11772600322.00000000,50970254.78112010,144876
1629676800000,2021-08-23 00:00:00,BTT/USDT,0.00434490,0.00460000,0.00431880,0.00448570,15006904844.00000000,67155253.62064370,179249
1629590400000,2021-08-22 00:00:00,BTT/USDT,0.00437650,0.00450980,0.00421690,0.00434500,9949210428.00000000,43371498.77172060,95420
1629504000000,2021-08-21 00:00:00,BTT/USDT,0.00452270,0.00452880,0.00434000,0.00437680,8896227758.00000000,39417171.78003890,95737
1629417600000,2021-08-20 00:00:00,BTT/USDT,0.00441290,0.00456200,0.00430290,0.00452210,11954091830.00000000,52909942.45729120,129299
1629331200000,2021-08-19 00:00:00,BTT/USDT,0.00421800,0.00441360,0.00400060,0.00441360,11854358897.00000000,49811294.14985320,114586
1629244800000,2021-08-18 00:00:00,BTT/USDT,0.00419940,0.00436200,0.00388820,0.00421630,18070971767.00000000,75507276.28153130,176487
1629158400000,2021-08-17 00:00:00,BTT/USDT,0.00458670,0.00467500,0.00412010,0.00419940,17324038627.00000000,77334925.58872560,193505
1629072000000,2021-08-16 00:00:00,BTT/USDT,0.00479720,0.00495000,0.00434750,0.00459050,22176808204.00000000,105309958.04031960,263301
1628985600000,2021-08-15 00:00:00,BTT/USDT,0.00482630,0.00491400,0.00457390,0.00479870,14977045136.00000000,70937870.28249590,162021
1628899200000,2021-08-14 00:00:00,BTT/USDT,0.00486000,0.00502900,0.00462620,0.00482500,20692196614.00000000,99591375.22958390,258097
1628812800000,2021-08-13 00:00:00,BTT/USDT,0.00462240,0.00488290,0.00451500,0.00486220,16102419212.00000000,75918267.40847160,190296
1628726400000,2021-08-12 00:00:00,BTT/USDT,0.00443510,0.00495170,0.00428950,0.00462460,38280729544.00000000,176661515.15980600,436362
1628640000000,2021-08-11 00:00:00,BTT/USDT,0.00389320,0.00474060,0.00384360,0.00443500,45752542854.00000000,199526882.71665780,522713
1628553600000,2021-08-10 00:00:00,BTT/USDT,0.00386030,0.00396390,0.00371430,0.00389270,12659793092.00000000,48790342.58365340,138656
1628467200000,2021-08-09 00:00:00,BTT/USDT,0.00372270,0.00392280,0.00365500,0.00386150,13205013753.00000000,50305879.08966270,139580
