unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1651968000000,2022-05-08 00:00:00,LINK/USDT,10.21000000,10.38000000,9.84000000,10.00000000,4021452.06200000,40602718.89360000,65615
1651881600000,2022-05-07 00:00:00,LINK/USDT,10.78000000,10.84000000,10.00000000,10.21000000,2641029.99400000,27820440.66591000,47836
1651795200000,2022-05-06 00:00:00,LINK/USDT,10.91000000,11.03000000,10.40000000,10.79000000,5327741.57100000,57237421.55097200,78324
1651708800000,2022-05-05 00:00:00,LINK/USDT,12.20000000,12.29000000,10.63000000,10.91000000,6346341.80000000,71802693.95030000,99040
1651622400000,2022-05-04 00:00:00,LINK/USDT,11.13000000,12.23000000,11.08000000,12.20000000,4762067.09000000,54854651.71600000,76024
1651536000000,2022-05-03 00:00:00,LINK/USDT,11.17000000,11.50000000,10.80000000,11.12000000,3860280.78000000,43106903.05060000,53729
1651449600000,2022-05-02 00:00:00,LINK/USDT,11.30000000,11.45000000,10.77000000,11.17000000,3937746.95000000,43794663.63380000,64441
1651363200000,2022-05-01 00:00:00,LINK/USDT,10.96000000,11.50000000,10.81000000,11.31000000,4020103.97000000,44773156.07610000,65862
1651276800000,2022-04-30 00:00:00,LINK/USDT,11.98000000,12.25000000,10.65000000,10.95000000,4336325.59000000,49780867.20747300,77823
1651190400000,2022-04-29 00:00:00,LINK/USDT,12.66000000,12.73000000,11.83000000,11.97000000,3050465.77000000,37407510.24060000,67732
1651104000000,2022-04-28 00:00:00,LINK/USDT,12.74000000,12.99000000,12.40000000,12.66000000,3668346.34000000,46528598.73150000,85481
1651017600000,2022-04-27 00:00:00,LINK/USDT,12.36000000,12.80000000,12.30000000,12.74000000,3202787.51000000,40314743.00970000,62239
1650931200000,2022-04-26 00:00:00,LINK/USDT,13.44000000,13.51000000,12.14000000,12.37000000,3283715.22000000,42323550.22750000,71536
1650844800000,2022-04-25 00:00:00,LINK/USDT,13.27000000,13.51000000,12.53000000,13.44000000,4158403.40000000,54036943.88540000,91726
1650758400000,2022-04-24 00:00:00,LINK/USDT,13.32000000,13.63000000,13.21000000,13.26000000,1809966.78000000,24261683.48460000,40581
1650672000000,2022-04-23 00:00:00,LINK/USDT,13.58000000,13.68000000,13.18000000,13.31000000,1566301.36000000,21095370.53330000,37643
1650585600000,2022-04-22 00:00:00,LINK/USDT,13.57000000,13.88000000,13.47000000,13.58000000,2458584.25000000,33652260.05450000,51216
1650499200000,2022-04-21 00:00:00,LINK/USDT,14.02000000,14.37000000,13.34000000,13.57000000,2982911.59000000,41645796.11820000,70819
