unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1650153600000,2022-04-17 00:00:00,ADA/USDT,0.95000000,0.96300000,0.91200000,0.91400000,42819442.00000000,40310611.73530000,68140
1650067200000,2022-04-16 00:00:00,ADA/USDT,0.95500000,0.96200000,0.93700000,0.95100000,36809858.40000000,34998947.70040000,55559
1649980800000,2022-04-15 00:00:00,ADA/USDT,0.93300000,0.95900000,0.92900000,0.95600000,42541809.70000000,40346404.52140000,64036
1649894400000,2022-04-14 00:00:00,ADA/USDT,0.97400000,0.98500000,0.92300000,0.93300000,84093379.20000000,80111053.20670000,118462
1649808000000,2022-04-13 00:00:00,ADA/USDT,0.95400000,0.98100000,0.93400000,0.97400000,83269578.60000000,79890065.97980000,112129
1649721600000,2022-04-12 00:00:00,ADA/USDT,0.91900000,0.98200000,0.91500000,0.95500000,115179052.50000000,109425977.48800000,167562
1649635200000,2022-04-11 00:00:00,ADA/USDT,1.02600000,1.03300000,0.91700000,0.92000000,159034131.60000000,154099625.61970000,236922
1649548800000,2022-04-10 00:00:00,ADA/USDT,1.04400000,1.07000000,1.02300000,1.02700000,51995282.70000000,54357960.73170000,92974
1649462400000,2022-04-09 00:00:00,ADA/USDT,1.02500000,1.04700000,1.02100000,1.04500000,49693999.10000000,51363885.97100000,77809
1649376000000,2022-04-08 00:00:00,ADA/USDT,1.08900000,1.10000000,1.01900000,1.02400000,88048109.30000000,93952128.17170000,143736
1649289600000,2022-04-07 00:00:00,ADA/USDT,1.05200000,1.10100000,1.03800000,1.08900000,99287570.50000000,106736899.88680000,173322
1649203200000,2022-04-06 00:00:00,ADA/USDT,1.17000000,1.17300000,1.04700000,1.05200000,206766772.70000000,229948472.48430000,353472
1649116800000,2022-04-05 00:00:00,ADA/USDT,1.21200000,1.21900000,1.16300000,1.17100000,108831679.50000000,130155835.15920000,204197
1649030400000,2022-04-04 00:00:00,ADA/USDT,1.18600000,1.24500000,1.16000000,1.21200000,253235570.30000000,304882047.67270000,472893
1648944000000,2022-04-03 00:00:00,ADA/USDT,1.15600000,1.20000000,1.14200000,1.18600000,78660058.30000000,92317779.56350000,149109
1648857600000,2022-04-02 00:00:00,ADA/USDT,1.16500000,1.19500000,1.14500000,1.15500000,107106263.90000000,125668411.16320000,204659
1648771200000,2022-04-01 00:00:00,ADA/USDT,1.14100000,1.17500000,1.10400000,1.16500000,191221298.90000000,218746166.90280000,274430
1648684800000,2022-03-31 00:00:00,ADA/USDT,1.18900000,1.22800000,1.13300000,1.14100000,177164788.10000000,209017789.90700000,307148
1648598400000,2022-03-30 00:00:00,ADA/USDT,1.19100000,1.21800000,1.16100000,1.18900000,146032640.30000000,173764772.78650000,233353
1648512000000,2022-03-29 00:00:00,ADA/USDT,1.17000000,1.24300000,1.16600000,1.19100000,180298618.00000000,217154215.41500000,341275
1648425600000,2022-03-28 00:00:00,ADA/USDT,1.18400000,1.24600000,1.15700000,1.17000000,261105698.60000000,313807434.48560000,517027
1648339200000,2022-03-27 00:00:00,ADA/USDT,1.15200000,1.18600000,1.10400000,1.18400000,135043361.80000000,154469498.28350000,261245
1648252800000,2022-03-26 00:00:00,ADA/USDT,1.09600000,1.16000000,1.07900000,1.15200000,143117986.10000000,161024339.18000000,271206
1648166400000,2022-03-25 00:00:00,ADA/USDT,1.13000000,1.16700000,1.07200000,1.09600000,290456883.70000000,324802638.26710000,506738
1648080000000,2022-03-24 00:00:00,ADA/USDT,1.10800000,1.19000000,1.07600000,1.13100000,390982460.00000000,445651286.52840000,702338
1647993600000,2022-03-23 00:00:00,ADA/USDT,0.97500000,1.11000000,0.95700000,1.10800000,362447245.10000000,376836453.72380000,645078
1647907200000,2022-03-22 00:00:00,ADA/USDT,0.91700000,0.98800000,0.90700000,0.97500000,172058469.40000000,164577626.02880000,280866
1647820800000,2022-03-21 00:00:00,ADA/USDT,0.87900000,0.93000000,0.86300000,0.91700000,115815047.20000000,104344596.32650000,198250
1647734400000,2022-03-20 00:00:00,ADA/USDT,0.90200000,0.91600000,0.86400000,0.87900000,93008770.90000000,82605912.68870000,155886
1647648000000,2022-03-19 00:00:00,ADA/USDT,0.85100000,0.91600000,0.85000000,0.90300000,114266368.80000000,101043393.85960000,196393
1647561600000,2022-03-18 00:00:00,ADA/USDT,0.83500000,0.86000000,0.82000000,0.85100000,82865732.30000000,69473720.72520000,105638
1647475200000,2022-03-17 00:00:00,ADA/USDT,0.83900000,0.85800000,0.82700000,0.83500000,106462948.20000000,89780881.35190000,129730
1647388800000,2022-03-16 00:00:00,ADA/USDT,0.80000000,0.84000000,0.79200000,0.83800000,160796978.50000000,130862784.24820000,189728
1647302400000,2022-03-15 00:00:00,ADA/USDT,0.80300000,0.81700000,0.78100000,0.80000000,95462205.50000000,76242142.12160000,110291
1647216000000,2022-03-14 00:00:00,ADA/USDT,0.78700000,0.81600000,0.77600000,0.80200000,104141955.40000000,83119494.67670000,120976
1647129600000,2022-03-13 00:00:00,ADA/USDT,0.78900000,0.82100000,0.78000000,0.78600000,88733691.20000000,70913375.73300000,103707
1647043200000,2022-03-12 00:00:00,ADA/USDT,0.78800000,0.80200000,0.78600000,0.78900000,50466434.40000000,40094234.34810000,58866
1646956800000,2022-03-11 00:00:00,ADA/USDT,0.80600000,0.81900000,0.78200000,0.78800000,101514757.70000000,80994331.77120000,108396
1646870400000,2022-03-10 00:00:00,ADA/USDT,0.84900000,0.85400000,0.78500000,0.80700000,115075825.80000000,93116288.82340000,129257
1646784000000,2022-03-09 00:00:00,ADA/USDT,0.80200000,0.86300000,0.79900000,0.84900000,114971836.50000000,96603126.37410000,143262
1646697600000,2022-03-08 00:00:00,ADA/USDT,0.79300000,0.82100000,0.78700000,0.80200000,123861693.70000000,99481585.61480000,134367
1646611200000,2022-03-07 00:00:00,ADA/USDT,0.82200000,0.84700000,0.77700000,0.79300000,132775114.20000000,107954690.91360000,159730
1646524800000,2022-03-06 00:00:00,ADA/USDT,0.86500000,0.87200000,0.81900000,0.82300000,76546559.40000000,64450087.98140000,105508
1646438400000,2022-03-05 00:00:00,ADA/USDT,0.84400000,0.88300000,0.81800000,0.86400000,78739554.50000000,67279606.74730000,117390
1646352000000,2022-03-04 00:00:00,ADA/USDT,0.90200000,0.90300000,0.82600000,0.84400000,147015719.30000000,127682736.98680000,193685
1646265600000,2022-03-03 00:00:00,ADA/USDT,0.93800000,0.94600000,0.88300000,0.90300000,114772747.90000000,104789950.51440000,155893
1646179200000,2022-03-02 00:00:00,ADA/USDT,0.96400000,0.97700000,0.92700000,0.93900000,149491898.80000000,142500770.67190000,226130
1646092800000,2022-03-01 00:00:00,ADA/USDT,0.96200000,1.01100000,0.93900000,0.96300000,234764266.60000000,227552504.56080000,333114
1646006400000,2022-02-28 00:00:00,ADA/USDT,0.85700000,0.97000000,0.84200000,0.96200000,227929558.70000000,206628176.27530000,326839
1645920000000,2022-02-27 00:00:00,ADA/USDT,0.88600000,0.91500000,0.83200000,0.85600000,162004634.90000000,141268322.63670000,205762
1645833600000,2022-02-26 00:00:00,ADA/USDT,0.89800000,0.93000000,0.88100000,0.88700000,142052119.70000000,128478270.23740000,180449
1645747200000,2022-02-25 00:00:00,ADA/USDT,0.85200000,0.91000000,0.82300000,0.89800000,210840757.40000000,182133681.22250000,277084
1645660800000,2022-02-24 00:00:00,ADA/USDT,0.86600000,0.89900000,0.74600000,0.85300000,560130978.58000000,450115675.74159100,622428
1645574400000,2022-02-23 00:00:00,ADA/USDT,0.88800000,0.96000000,0.86300000,0.86600000,237719675.90000000,217317574.21340000,293901
1645488000000,2022-02-22 00:00:00,ADA/USDT,0.85600000,0.89700000,0.81300000,0.88800000,264842040.57000000,226538695.65487400,305066
1645401600000,2022-02-21 00:00:00,ADA/USDT,0.93100000,0.99300000,0.85100000,0.85600000,283488504.31000000,262678267.43904600,359675
1645315200000,2022-02-20 00:00:00,ADA/USDT,0.99700000,0.99800000,0.91900000,0.93100000,156774619.10000000,148159415.55950000,209970
1645228800000,2022-02-19 00:00:00,ADA/USDT,0.99600000,1.01900000,0.97300000,0.99600000,92102940.70000000,91691271.91420000,143588
1645142400000,2022-02-18 00:00:00,ADA/USDT,1.01900000,1.04300000,0.98300000,0.99500000,133614248.40000000,135340040.63690000,197322
1645056000000,2022-02-17 00:00:00,ADA/USDT,1.08300000,1.09400000,1.00800000,1.02000000,114535761.90000000,120519433.26960000,193074
1644969600000,2022-02-16 00:00:00,ADA/USDT,1.10800000,1.11200000,1.06600000,1.08200000,100925929.70000000,109865510.98800000,165005
1644883200000,2022-02-15 00:00:00,ADA/USDT,1.05000000,1.11500000,1.04900000,1.10700000,153934616.30000000,167359595.19250000,217645
1644796800000,2022-02-14 00:00:00,ADA/USDT,1.04300000,1.05500000,1.01800000,1.04900000,138982742.30000000,144076429.13320000,179063
1644710400000,2022-02-13 00:00:00,ADA/USDT,1.05800000,1.07600000,1.03200000,1.04200000,99247994.00000000,104644114.85350000,151375
1644624000000,2022-02-12 00:00:00,ADA/USDT,1.07900000,1.09200000,1.02900000,1.05900000,149173437.20000000,158161972.99250000,234429
1644537600000,2022-02-11 00:00:00,ADA/USDT,1.15000000,1.16400000,1.06800000,1.07900000,131818725.20000000,149139853.84640000,247139
1644451200000,2022-02-10 00:00:00,ADA/USDT,1.19400000,1.22500000,1.14300000,1.15000000,183604520.10000000,217359334.45660000,359090
1644364800000,2022-02-09 00:00:00,ADA/USDT,1.17600000,1.21500000,1.15200000,1.19500000,137109784.20000000,163081276.59010000,245675
1644278400000,2022-02-08 00:00:00,ADA/USDT,1.19800000,1.26300000,1.13300000,1.17600000,271657090.80000000,325233753.45430000,532963
1644192000000,2022-02-07 00:00:00,ADA/USDT,1.14200000,1.20900000,1.12500000,1.19900000,267801841.60000000,316342987.64770000,508239
1644105600000,2022-02-06 00:00:00,ADA/USDT,1.12500000,1.15000000,1.09700000,1.14300000,107099317.00000000,120397073.34130000,221871
1644019200000,2022-02-05 00:00:00,ADA/USDT,1.13800000,1.17800000,1.09700000,1.12500000,152710784.30000000,174120235.96210000,348245
1643932800000,2022-02-04 00:00:00,ADA/USDT,1.06100000,1.13900000,1.04500000,1.13800000,135205051.60000000,146202131.63450000,270244
1643846400000,2022-02-03 00:00:00,ADA/USDT,1.02700000,1.06200000,1.01600000,1.06100000,98542208.50000000,102202422.36260000,175684
1643760000000,2022-02-02 00:00:00,ADA/USDT,1.09600000,1.10300000,1.02200000,1.02700000,126857788.70000000,134518230.47350000,259307
1643673600000,2022-02-01 00:00:00,ADA/USDT,1.05200000,1.09600000,1.03400000,1.09600000,124526330.30000000,132239499.01620000,235302
1643587200000,2022-01-31 00:00:00,ADA/USDT,1.03500000,1.06000000,1.00600000,1.05100000,101218950.10000000,104454406.49580000,192580
1643500800000,2022-01-30 00:00:00,ADA/USDT,1.05900000,1.07700000,1.02400000,1.03500000,72352160.10000000,76033766.38120000,155872
1643414400000,2022-01-29 00:00:00,ADA/USDT,1.04900000,1.08400000,1.03700000,1.05900000,89531278.40000000,94893530.21240000,194659
1643328000000,2022-01-28 00:00:00,ADA/USDT,1.04200000,1.05900000,1.00800000,1.04800000,137690073.10000000,142445944.66390000,257649
1643241600000,2022-01-27 00:00:00,ADA/USDT,1.07800000,1.08000000,1.00400000,1.04200000,184762461.80000000,192138287.93210000,348731
1643155200000,2022-01-26 00:00:00,ADA/USDT,1.04300000,1.15700000,1.02200000,1.07700000,336503954.90000000,366773055.23600000,654579
1643068800000,2022-01-25 00:00:00,ADA/USDT,1.06600000,1.07400000,0.99100000,1.04300000,218828333.30000000,226342639.20710000,394458
1642982400000,2022-01-24 00:00:00,ADA/USDT,1.12400000,1.12500000,0.95100000,1.06500000,437410320.00000000,447077366.56550000,775867
1642896000000,2022-01-23 00:00:00,ADA/USDT,1.07100000,1.17000000,1.05100000,1.12400000,257147931.50000000,283676579.49820000,487710
1642809600000,2022-01-22 00:00:00,ADA/USDT,1.12000000,1.15500000,0.91700000,1.07100000,554287709.12000000,587006937.36549000,1068717
1642723200000,2022-01-21 00:00:00,ADA/USDT,1.25900000,1.28200000,1.10100000,1.12000000,408519522.40000000,489294165.13090000,780053
1642636800000,2022-01-20 00:00:00,ADA/USDT,1.33600000,1.42700000,1.25100000,1.25900000,261063307.30000000,352149336.05050000,566966
1642550400000,2022-01-19 00:00:00,ADA/USDT,1.45800000,1.53400000,1.32600000,1.33700000,329948716.40000000,466337970.56220000,762741
1642464000000,2022-01-18 00:00:00,ADA/USDT,1.60200000,1.63800000,1.41100000,1.45800000,455949108.30000000,689115056.27620000,1169456
1642377600000,2022-01-17 00:00:00,ADA/USDT,1.41100000,1.60700000,1.38600000,1.60300000,545675409.10000000,823631436.93410000,1530274
1642291200000,2022-01-16 00:00:00,ADA/USDT,1.29200000,1.42200000,1.28600000,1.41000000,247977037.40000000,342364572.29180000,615823
1642204800000,2022-01-15 00:00:00,ADA/USDT,1.29300000,1.31900000,1.25100000,1.29100000,80421836.40000000,103117575.31770000,191252
1642118400000,2022-01-14 00:00:00,ADA/USDT,1.23200000,1.30900000,1.22000000,1.29200000,143281596.50000000,181243812.48150000,331155
1642032000000,2022-01-13 00:00:00,ADA/USDT,1.31200000,1.35400000,1.22700000,1.23300000,179029543.60000000,230246441.47970000,426125
1641945600000,2022-01-12 00:00:00,ADA/USDT,1.18800000,1.31400000,1.18600000,1.31200000,145608592.70000000,182190437.04440000,341312
1641859200000,2022-01-11 00:00:00,ADA/USDT,1.12300000,1.19600000,1.12200000,1.18700000,115267098.70000000,133792540.39380000,241607
1641772800000,2022-01-10 00:00:00,ADA/USDT,1.17000000,1.18100000,1.06900000,1.12300000,189250644.14000000,212884357.74931800,360425
1641686400000,2022-01-09 00:00:00,ADA/USDT,1.18200000,1.20600000,1.14700000,1.17000000,114093699.40000000,134353467.77720000,231040
1641600000000,2022-01-08 00:00:00,ADA/USDT,1.20900000,1.25400000,1.12400000,1.18100000,169730473.68000000,201840755.44063900,359202
1641513600000,2022-01-07 00:00:00,ADA/USDT,1.27900000,1.28500000,1.18900000,1.21000000,209806013.20000000,256808689.23760000,412091
1641427200000,2022-01-06 00:00:00,ADA/USDT,1.23000000,1.29700000,1.18600000,1.28000000,175754407.60000000,216590054.10710000,361052
1641340800000,2022-01-05 00:00:00,ADA/USDT,1.31000000,1.35300000,1.19300000,1.23000000,158740088.20000000,203778648.55900000,365590
