unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1646784000000,2022-03-09 00:00:00,FIL/USDT,18.03000000,19.28000000,17.96000000,18.82000000,1976844.49000000,36929514.70660000,76603
1646697600000,2022-03-08 00:00:00,FIL/USDT,17.83000000,18.33000000,17.67000000,18.03000000,1666545.81000000,30028488.97520000,63265
1646611200000,2022-03-07 00:00:00,FIL/USDT,18.46000000,18.91000000,17.11000000,17.82000000,2504046.92000000,45229818.87970000,98757
1646524800000,2022-03-06 00:00:00,FIL/USDT,19.09000000,19.29000000,18.33000000,18.45000000,1250798.80000000,23479213.81700000,49803
1646438400000,2022-03-05 00:00:00,FIL/USDT,18.82000000,19.23000000,18.25000000,19.09000000,1158437.18000000,21817127.60060000,50057
1646352000000,2022-03-04 00:00:00,FIL/USDT,20.13000000,20.30000000,18.47000000,18.81000000,2447686.82000000,47456432.76340000,98036
1646265600000,2022-03-03 00:00:00,FIL/USDT,20.75000000,20.97000000,19.54000000,20.13000000,1793049.50000000,36227681.31810000,71796
1646179200000,2022-03-02 00:00:00,FIL/USDT,20.97000000,21.68000000,20.20000000,20.74000000,2787048.44000000,58425429.19380000,135922
1646092800000,2022-03-01 00:00:00,FIL/USDT,21.70000000,22.28000000,20.52000000,20.96000000,3582499.02000000,76446367.69300000,148419
1646006400000,2022-02-28 00:00:00,FIL/USDT,20.37000000,21.94000000,19.70000000,21.70000000,4320671.67000000,89282936.30430000,178738
1645920000000,2022-02-27 00:00:00,FIL/USDT,19.06000000,21.35000000,18.40000000,20.36000000,4526069.09000000,91200112.81590000,201152
1645833600000,2022-02-26 00:00:00,FIL/USDT,18.93000000,19.47000000,18.53000000,19.06000000,1707971.22000000,32531896.63780000,72428
1645747200000,2022-02-25 00:00:00,FIL/USDT,18.43000000,19.21000000,18.10000000,18.93000000,2213789.51000000,41182164.71740000,99781
1645660800000,2022-02-24 00:00:00,FIL/USDT,18.45000000,18.87000000,16.73000000,18.43000000,4737448.72000000,83036873.28330000,201103
1645574400000,2022-02-23 00:00:00,FIL/USDT,19.18000000,19.61000000,18.41000000,18.45000000,2192827.20000000,41880265.43530000,84385
1645488000000,2022-02-22 00:00:00,FIL/USDT,18.63000000,19.25000000,18.05000000,19.17000000,3201322.13000000,59891084.98920000,111492
1645401600000,2022-02-21 00:00:00,FIL/USDT,19.80000000,20.48000000,18.51000000,18.63000000,3334156.89000000,65427976.28570000,123163
1645315200000,2022-02-20 00:00:00,FIL/USDT,20.81000000,20.86000000,19.34000000,19.79000000,2401819.34000000,47796239.49730000,92373
1645228800000,2022-02-19 00:00:00,FIL/USDT,21.03000000,21.27000000,20.07000000,20.81000000,2119259.88000000,43877706.46090000,84699
1645142400000,2022-02-18 00:00:00,FIL/USDT,20.54000000,21.37000000,20.13000000,21.02000000,3412814.47000000,70771588.89330000,138358
1645056000000,2022-02-17 00:00:00,FIL/USDT,23.06000000,23.40000000,20.17000000,20.53000000,4408599.82000000,96911650.39010000,176511
1644969600000,2022-02-16 00:00:00,FIL/USDT,22.35000000,23.58000000,21.51000000,23.06000000,3510522.27000000,79011138.41740000,152483
1644883200000,2022-02-15 00:00:00,FIL/USDT,20.72000000,22.53000000,20.66000000,22.35000000,2335274.44000000,50617490.06600000,96231
1644796800000,2022-02-14 00:00:00,FIL/USDT,20.57000000,21.08000000,19.92000000,20.71000000,2057462.28000000,41989014.62970000,88196
1644710400000,2022-02-13 00:00:00,FIL/USDT,20.88000000,21.20000000,20.42000000,20.57000000,1680580.40000000,35004736.47170000,75591
1644624000000,2022-02-12 00:00:00,FIL/USDT,21.09000000,21.39000000,20.28000000,20.87000000,2753205.02000000,57458889.84690000,122628
1644537600000,2022-02-11 00:00:00,FIL/USDT,23.15000000,23.39000000,20.83000000,21.10000000,2941348.76000000,66571623.22300000,133977
1644451200000,2022-02-10 00:00:00,FIL/USDT,24.29000000,24.79000000,22.80000000,23.14000000,4351076.00000000,103618680.79370000,196178
1644364800000,2022-02-09 00:00:00,FIL/USDT,24.63000000,24.85000000,23.43000000,24.29000000,3145848.53000000,75808111.29410000,145731
1644278400000,2022-02-08 00:00:00,FIL/USDT,24.51000000,26.68000000,23.12000000,24.62000000,6014022.03290000,147419055.88340000,280545
1644192000000,2022-02-07 00:00:00,FIL/USDT,22.45000000,24.75000000,22.05000000,24.52000000,4295778.18000000,100480563.19170000,181859
1644105600000,2022-02-06 00:00:00,FIL/USDT,21.99000000,22.64000000,21.56000000,22.45000000,2376103.68000000,52535487.05560000,100414
1644019200000,2022-02-05 00:00:00,FIL/USDT,21.63000000,22.81000000,21.35000000,21.98000000,2422547.38000000,53495875.72480000,116758
1643932800000,2022-02-04 00:00:00,FIL/USDT,20.35000000,21.72000000,20.19000000,21.62000000,3257469.49000000,68067166.39470000,124428
1643846400000,2022-02-03 00:00:00,FIL/USDT,20.18000000,20.57000000,19.54000000,20.35000000,2225800.31000000,44711769.55160000,107417
1643760000000,2022-02-02 00:00:00,FIL/USDT,20.90000000,21.45000000,19.95000000,20.17000000,2902063.46000000,60019857.40120000,139615
1643673600000,2022-02-01 00:00:00,FIL/USDT,21.29000000,21.59000000,20.58000000,20.89000000,1989948.26000000,41921754.70670000,117886
1643587200000,2022-01-31 00:00:00,FIL/USDT,19.82000000,21.90000000,18.97000000,21.29000000,3160362.28000000,64166254.60220000,167772
1643500800000,2022-01-30 00:00:00,FIL/USDT,20.28000000,20.88000000,19.47000000,19.82000000,2320536.98000000,46891501.74460000,126509
1643414400000,2022-01-29 00:00:00,FIL/USDT,19.61000000,20.78000000,19.37000000,20.28000000,3073353.32000000,62042363.22780000,164280
1643328000000,2022-01-28 00:00:00,FIL/USDT,19.20000000,19.85000000,18.50000000,19.61000000,3466445.34000000,66182227.44110000,179390
1643241600000,2022-01-27 00:00:00,FIL/USDT,19.27000000,19.99000000,18.07000000,19.20000000,4062372.75000000,76828307.99560000,213632
1643155200000,2022-01-26 00:00:00,FIL/USDT,18.16000000,20.43000000,18.00000000,19.27000000,5235012.48000000,100150589.65320000,252094
1643068800000,2022-01-25 00:00:00,FIL/USDT,18.41000000,18.56000000,17.72000000,18.15000000,3342227.41000000,60575251.70380000,160780
1642982400000,2022-01-24 00:00:00,FIL/USDT,19.49000000,19.50000000,16.82000000,18.42000000,7906275.78000000,140573845.95740000,311530
1642896000000,2022-01-23 00:00:00,FIL/USDT,19.01000000,20.27000000,18.36000000,19.49000000,4418430.59000000,85234654.72130000,196794
1642809600000,2022-01-22 00:00:00,FIL/USDT,21.96000000,22.65000000,16.97000000,19.01000000,9930877.39710000,194754104.79500200,427276
1642723200000,2022-01-21 00:00:00,FIL/USDT,26.19000000,26.58000000,21.12000000,21.97000000,5829037.99800000,138719116.21893600,337216
1642636800000,2022-01-20 00:00:00,FIL/USDT,27.62000000,28.70000000,26.00000000,26.18000000,1885125.08000000,52011570.86030000,119163
1642550400000,2022-01-19 00:00:00,FIL/USDT,28.47000000,28.71000000,27.21000000,27.61000000,1967639.26000000,54921177.76310000,118746
1642464000000,2022-01-18 00:00:00,FIL/USDT,28.98000000,29.33000000,27.66000000,28.47000000,2244706.75000000,63499207.44100000,130880
1642377600000,2022-01-17 00:00:00,FIL/USDT,30.38000000,30.46000000,28.52000000,28.97000000,1862779.85000000,54817543.97950000,126066
1642291200000,2022-01-16 00:00:00,FIL/USDT,29.66000000,31.48000000,29.61000000,30.38000000,2156207.69000000,65565442.41240000,124360
1642204800000,2022-01-15 00:00:00,FIL/USDT,29.72000000,30.60000000,29.31000000,29.66000000,1783099.52000000,53326961.01900000,111586
1642118400000,2022-01-14 00:00:00,FIL/USDT,28.51000000,29.87000000,28.02000000,29.72000000,2835853.06000000,82060262.68180000,138704
