unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1648425600000,2022-03-28 00:00:00,ETC/USDT,48.00000000,51.40000000,46.32000000,47.07000000,4944348.63000000,239058739.75530000,326174
1648339200000,2022-03-27 00:00:00,ETC/USDT,47.18000000,48.59000000,44.73000000,48.00000000,3282704.43000000,152693389.06750000,261264
1648252800000,2022-03-26 00:00:00,ETC/USDT,48.16000000,48.78000000,46.62000000,47.18000000,3187450.70000000,152106128.70270000,201436
1648166400000,2022-03-25 00:00:00,ETC/USDT,48.52000000,49.95000000,45.23000000,48.15000000,6774116.35000000,322911344.13990000,445189
1648080000000,2022-03-24 00:00:00,ETC/USDT,45.12000000,50.60000000,42.62000000,48.52000000,8964071.88000000,413865642.69050000,587489
1647993600000,2022-03-23 00:00:00,ETC/USDT,45.87000000,49.00000000,43.26000000,45.13000000,7694854.48000000,356765626.36690000,530813
1647907200000,2022-03-22 00:00:00,ETC/USDT,38.38000000,46.89000000,38.14000000,45.86000000,7962840.24000000,342965261.70210000,518399
1647820800000,2022-03-21 00:00:00,ETC/USDT,38.18000000,39.89000000,36.09000000,38.39000000,6395455.69000000,245728501.81410000,350169
1647734400000,2022-03-20 00:00:00,ETC/USDT,34.00000000,40.90000000,32.80000000,38.17000000,11629077.13000000,430344382.87700000,721122
1647648000000,2022-03-19 00:00:00,ETC/USDT,28.05000000,34.39000000,28.04000000,34.01000000,4367203.48000000,136986089.16540000,259138
1647561600000,2022-03-18 00:00:00,ETC/USDT,27.16000000,28.32000000,26.52000000,28.05000000,642710.00000000,17562495.35660000,38231
1647475200000,2022-03-17 00:00:00,ETC/USDT,27.37000000,27.54000000,26.73000000,27.15000000,571900.31000000,15524207.45990000,35046
1647388800000,2022-03-16 00:00:00,ETC/USDT,25.85000000,27.59000000,25.68000000,27.36000000,1016759.03000000,26877336.51890000,64512
1647302400000,2022-03-15 00:00:00,ETC/USDT,25.92000000,26.29000000,25.12000000,25.85000000,538341.91000000,13831233.36990000,30628
1647216000000,2022-03-14 00:00:00,ETC/USDT,25.36000000,26.13000000,25.00000000,25.93000000,604374.24000000,15507184.79810000,39967
1647129600000,2022-03-13 00:00:00,ETC/USDT,26.30000000,26.67000000,25.10000000,25.36000000,409174.30000000,10638002.67430000,27633
1647043200000,2022-03-12 00:00:00,ETC/USDT,26.48000000,27.04000000,26.24000000,26.30000000,519019.12000000,13827915.47170000,29195
1646956800000,2022-03-11 00:00:00,ETC/USDT,26.69000000,26.99000000,25.98000000,26.48000000,857698.44000000,22692903.99340000,48829
1646870400000,2022-03-10 00:00:00,ETC/USDT,28.07000000,28.68000000,26.12000000,26.69000000,892869.11000000,24047321.79560000,60952
1646784000000,2022-03-09 00:00:00,ETC/USDT,26.73000000,28.73000000,26.50000000,28.05000000,995595.55000000,27679298.59330000,61583
1646697600000,2022-03-08 00:00:00,ETC/USDT,26.12000000,26.96000000,25.91000000,26.74000000,879083.42000000,23227709.36710000,48915
1646611200000,2022-03-07 00:00:00,ETC/USDT,26.55000000,27.48000000,25.24000000,26.13000000,975006.27000000,25699979.52350000,52170
1646524800000,2022-03-06 00:00:00,ETC/USDT,27.83000000,28.09000000,26.47000000,26.55000000,599288.19000000,16280848.50630000,38169
1646438400000,2022-03-05 00:00:00,ETC/USDT,27.60000000,28.09000000,26.65000000,27.84000000,546882.81000000,14980374.78660000,37152
1646352000000,2022-03-04 00:00:00,ETC/USDT,30.22000000,30.96000000,26.95000000,27.59000000,1365740.15000000,39374756.38560000,96358
1646265600000,2022-03-03 00:00:00,ETC/USDT,29.53000000,31.59000000,28.94000000,30.23000000,1997523.42000000,60512590.79910000,124416
1646179200000,2022-03-02 00:00:00,ETC/USDT,30.34000000,30.59000000,29.08000000,29.52000000,1152958.50000000,34450401.72680000,79617
1646092800000,2022-03-01 00:00:00,ETC/USDT,30.49000000,31.43000000,29.42000000,30.34000000,1510866.57000000,45741669.67760000,99476
1646006400000,2022-02-28 00:00:00,ETC/USDT,27.36000000,30.77000000,26.89000000,30.49000000,1321014.45000000,37385542.86840000,86045
1645920000000,2022-02-27 00:00:00,ETC/USDT,28.89000000,29.26000000,26.89000000,27.36000000,1288819.30000000,36198600.71520000,90637
1645833600000,2022-02-26 00:00:00,ETC/USDT,27.99000000,29.75000000,27.86000000,28.89000000,1438915.18000000,41727213.45020000,93131
1645747200000,2022-02-25 00:00:00,ETC/USDT,26.52000000,28.46000000,25.92000000,27.99000000,1305203.58000000,35087990.55910000,77794
1645660800000,2022-02-24 00:00:00,ETC/USDT,26.54000000,27.32000000,23.32000000,26.52000000,3096650.73000000,77550638.11400000,189197
1645574400000,2022-02-23 00:00:00,ETC/USDT,26.66000000,28.18000000,26.22000000,26.54000000,1610993.31000000,43906519.63630000,76312
1645488000000,2022-02-22 00:00:00,ETC/USDT,24.97000000,26.90000000,24.42000000,26.66000000,1695833.01000000,43741404.69420000,82778
1645401600000,2022-02-21 00:00:00,ETC/USDT,27.24000000,28.42000000,24.78000000,24.98000000,1944134.67000000,52230708.35770000,105158
1645315200000,2022-02-20 00:00:00,ETC/USDT,28.69000000,28.74000000,26.82000000,27.23000000,1203675.74000000,33151671.51640000,69485
1645228800000,2022-02-19 00:00:00,ETC/USDT,28.94000000,29.22000000,27.63000000,28.69000000,1003844.83000000,28591968.31470000,60892
1645142400000,2022-02-18 00:00:00,ETC/USDT,29.44000000,30.42000000,28.24000000,28.95000000,1457411.30000000,42788666.08480000,86595
1645056000000,2022-02-17 00:00:00,ETC/USDT,32.24000000,32.64000000,28.91000000,29.43000000,1350625.44000000,41529660.59200000,86152
1644969600000,2022-02-16 00:00:00,ETC/USDT,33.47000000,33.48000000,31.44000000,32.24000000,932877.90000000,30245310.91370000,76805
1644883200000,2022-02-15 00:00:00,ETC/USDT,31.40000000,33.67000000,31.14000000,33.47000000,1312320.94000000,42975245.49270000,92568
1644796800000,2022-02-14 00:00:00,ETC/USDT,32.47000000,33.29000000,30.40000000,31.40000000,1516898.32000000,48342377.58280000,105004
1644710400000,2022-02-13 00:00:00,ETC/USDT,31.70000000,34.11000000,31.49000000,32.47000000,1833536.92000000,60384429.77080000,106445
1644624000000,2022-02-12 00:00:00,ETC/USDT,32.69000000,33.38000000,31.04000000,31.71000000,1863667.38000000,59757562.09800000,119793
1644537600000,2022-02-11 00:00:00,ETC/USDT,34.35000000,37.58000000,31.84000000,32.69000000,3645804.96000000,129822713.15560000,255349
1644451200000,2022-02-10 00:00:00,ETC/USDT,33.78000000,37.00000000,33.50000000,34.34000000,3293693.91000000,116822392.91020000,247225
1644364800000,2022-02-09 00:00:00,ETC/USDT,32.07000000,34.90000000,31.27000000,33.79000000,2146588.72000000,72133617.61570000,142733
1644278400000,2022-02-08 00:00:00,ETC/USDT,32.65000000,33.25000000,30.35000000,32.07000000,1539029.42000000,48677109.36920000,107044
1644192000000,2022-02-07 00:00:00,ETC/USDT,29.89000000,33.20000000,29.32000000,32.67000000,1848298.85000000,58935353.48300000,121607
1644105600000,2022-02-06 00:00:00,ETC/USDT,29.42000000,30.20000000,28.86000000,29.89000000,874396.95000000,25874393.85050000,60156
1644019200000,2022-02-05 00:00:00,ETC/USDT,29.68000000,29.96000000,28.70000000,29.42000000,1159703.98000000,34081530.09870000,79062
1643932800000,2022-02-04 00:00:00,ETC/USDT,27.91000000,29.84000000,27.41000000,29.69000000,1615795.02000000,46091021.13740000,92395
1643846400000,2022-02-03 00:00:00,ETC/USDT,26.27000000,28.50000000,25.65000000,27.92000000,1275687.68000000,34168396.76990000,71455
1643760000000,2022-02-02 00:00:00,ETC/USDT,26.78000000,28.48000000,26.18000000,26.26000000,1442478.12000000,39698230.84140000,92202
1643673600000,2022-02-01 00:00:00,ETC/USDT,25.66000000,26.93000000,25.41000000,26.79000000,772853.46000000,20172895.50190000,47832
1643587200000,2022-01-31 00:00:00,ETC/USDT,24.91000000,25.73000000,23.99000000,25.66000000,929058.12000000,23082742.88650000,50036
1643500800000,2022-01-30 00:00:00,ETC/USDT,25.34000000,25.88000000,24.52000000,24.91000000,684117.20000000,17252311.98920000,42264
1643414400000,2022-01-29 00:00:00,ETC/USDT,25.15000000,25.72000000,24.79000000,25.33000000,673680.72000000,17014086.98340000,42434
1643328000000,2022-01-28 00:00:00,ETC/USDT,24.30000000,25.24000000,23.88000000,25.16000000,948608.70000000,23221888.75640000,58944
1643241600000,2022-01-27 00:00:00,ETC/USDT,24.31000000,24.76000000,23.31000000,24.31000000,1102768.51000000,26461671.80760000,64510
1643155200000,2022-01-26 00:00:00,ETC/USDT,24.04000000,26.32000000,23.58000000,24.31000000,1614061.31000000,40055306.58810000,94156
1643068800000,2022-01-25 00:00:00,ETC/USDT,24.11000000,24.30000000,23.22000000,24.03000000,1605584.32000000,38183464.21290000,90234
1642982400000,2022-01-24 00:00:00,ETC/USDT,25.12000000,25.13000000,21.69000000,24.11000000,3290143.50000000,75655092.78450000,136824
1642896000000,2022-01-23 00:00:00,ETC/USDT,24.19000000,25.27000000,23.53000000,25.13000000,2005275.20000000,48825190.31630000,86457
1642809600000,2022-01-22 00:00:00,ETC/USDT,25.91000000,26.45000000,21.20000000,24.20000000,4943402.91700000,117615516.24073700,176188
1642723200000,2022-01-21 00:00:00,ETC/USDT,29.34000000,29.70000000,25.23000000,25.91000000,2791607.27300000,77222228.69774000,134958
1642636800000,2022-01-20 00:00:00,ETC/USDT,31.29000000,32.03000000,28.30000000,29.35000000,1312732.36000000,40214093.67470000,76111
1642550400000,2022-01-19 00:00:00,ETC/USDT,32.65000000,34.74000000,31.29000000,31.30000000,2948635.95000000,96690958.08650000,160971
1642464000000,2022-01-18 00:00:00,ETC/USDT,30.99000000,34.30000000,30.67000000,32.66000000,3100672.77000000,101019510.41740000,164876
1642377600000,2022-01-17 00:00:00,ETC/USDT,32.28000000,32.40000000,30.47000000,30.98000000,545028.38000000,17005129.57920000,40591
1642291200000,2022-01-16 00:00:00,ETC/USDT,32.83000000,32.85000000,31.97000000,32.28000000,385190.10000000,12460293.56890000,31208
1642204800000,2022-01-15 00:00:00,ETC/USDT,31.96000000,33.38000000,31.80000000,32.84000000,843721.93000000,27585419.24740000,59152
1642118400000,2022-01-14 00:00:00,ETC/USDT,30.26000000,33.50000000,30.06000000,31.97000000,1741084.72000000,56012453.25400000,97941
1642032000000,2022-01-13 00:00:00,ETC/USDT,31.16000000,31.92000000,30.10000000,30.28000000,651571.65000000,20191108.94870000,46046
1641945600000,2022-01-12 00:00:00,ETC/USDT,29.65000000,31.24000000,29.53000000,31.16000000,588682.23000000,17910848.30910000,38783
1641859200000,2022-01-11 00:00:00,ETC/USDT,28.47000000,30.04000000,28.38000000,29.66000000,845777.39000000,24737309.15870000,48962
1641772800000,2022-01-10 00:00:00,ETC/USDT,29.73000000,30.06000000,27.26000000,28.48000000,1438787.97900000,40899802.08694700,73236
1641686400000,2022-01-09 00:00:00,ETC/USDT,29.34000000,30.27000000,29.13000000,29.73000000,552591.06000000,16426685.93690000,40981
1641600000000,2022-01-08 00:00:00,ETC/USDT,30.46000000,31.04000000,28.37000000,29.35000000,854868.67000000,25369687.16550000,64294
1641513600000,2022-01-07 00:00:00,ETC/USDT,31.62000000,31.76000000,29.17000000,30.45000000,1502439.27000000,45577900.89550000,99664
1641427200000,2022-01-06 00:00:00,ETC/USDT,31.94000000,32.13000000,30.65000000,31.63000000,979233.00000000,30700225.18350000,66794
1641340800000,2022-01-05 00:00:00,ETC/USDT,34.14000000,34.83000000,30.45000000,31.94000000,1029463.79000000,34040221.57140000,80229
1641254400000,2022-01-04 00:00:00,ETC/USDT,34.72000000,35.02000000,33.80000000,34.14000000,555520.68000000,19172031.99970000,45111
1641168000000,2022-01-03 00:00:00,ETC/USDT,35.39000000,35.40000000,34.15000000,34.72000000,543287.15000000,18953752.12200000,39984
