unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1647043200000,2022-03-12 00:00:00,BNB/USDT,371.90000000,379.20000000,371.10000000,372.40000000,402475.64600000,151304077.17420000,227739
1646956800000,2022-03-11 00:00:00,BNB/USDT,372.10000000,380.00000000,364.70000000,371.90000000,510174.58600000,189829352.13480000,273544
1646870400000,2022-03-10 00:00:00,BNB/USDT,393.20000000,394.50000000,363.00000000,372.00000000,791241.37600000,296356270.01200000,385854
1646784000000,2022-03-09 00:00:00,BNB/USDT,381.40000000,402.70000000,381.00000000,393.20000000,1012850.74700000,399432781.31460000,464185
1646697600000,2022-03-08 00:00:00,BNB/USDT,380.60000000,388.70000000,375.30000000,381.40000000,646909.82100000,247674957.77790000,298145
1646611200000,2022-03-07 00:00:00,BNB/USDT,375.00000000,385.90000000,362.80000000,380.60000000,948766.85700000,356272497.83130000,394184
1646524800000,2022-03-06 00:00:00,BNB/USDT,384.80000000,387.30000000,371.60000000,375.00000000,489079.15800000,185729892.84040000,260216
1646438400000,2022-03-05 00:00:00,BNB/USDT,374.10000000,387.30000000,367.20000000,384.70000000,453970.24200000,171261274.71360000,269443
1646352000000,2022-03-04 00:00:00,BNB/USDT,402.60000000,403.50000000,372.00000000,374.20000000,756176.61000000,294267657.11170000,366024
1646265600000,2022-03-03 00:00:00,BNB/USDT,409.30000000,413.20000000,397.40000000,402.60000000,577002.32500000,233991241.51750000,320905
1646179200000,2022-03-02 00:00:00,BNB/USDT,408.70000000,415.70000000,403.80000000,409.30000000,788499.44300000,323372980.94400000,430117
1646092800000,2022-03-01 00:00:00,BNB/USDT,395.70000000,424.90000000,390.40000000,408.70000000,1403695.83200000,570619625.59180000,680260
1646006400000,2022-02-28 00:00:00,BNB/USDT,360.10000000,397.20000000,355.80000000,395.60000000,773064.48000000,289850493.03470000,417256
1645920000000,2022-02-27 00:00:00,BNB/USDT,373.70000000,381.20000000,358.10000000,360.10000000,677364.94900000,249999154.45570000,354177
1645833600000,2022-02-26 00:00:00,BNB/USDT,375.00000000,386.10000000,370.50000000,373.70000000,548687.94100000,206711446.36450000,304302
1645747200000,2022-02-25 00:00:00,BNB/USDT,361.20000000,377.20000000,356.80000000,375.00000000,783242.16000000,286459035.49180000,383154
1645660800000,2022-02-24 00:00:00,BNB/USDT,365.60000000,371.30000000,323.50000000,361.20000000,1949035.93500000,670530462.92950000,727590
1645574400000,2022-02-23 00:00:00,BNB/USDT,374.30000000,384.20000000,365.30000000,365.60000000,698692.66100000,262913145.32070000,340110
1645488000000,2022-02-22 00:00:00,BNB/USDT,356.70000000,375.40000000,348.70000000,374.30000000,940456.82200000,340225406.77270000,395255
1645401600000,2022-02-21 00:00:00,BNB/USDT,380.70000000,393.70000000,355.00000000,356.60000000,1219652.48100000,457114758.21130000,537899
1645315200000,2022-02-20 00:00:00,BNB/USDT,399.80000000,400.00000000,375.00000000,380.60000000,624148.52500000,239051430.97180000,344722
1645228800000,2022-02-19 00:00:00,BNB/USDT,399.20000000,406.40000000,393.00000000,399.80000000,410279.30400000,164154087.31120000,253423
1645142400000,2022-02-18 00:00:00,BNB/USDT,402.40000000,411.00000000,392.20000000,399.20000000,611936.67900000,245671823.91690000,332933
1645056000000,2022-02-17 00:00:00,BNB/USDT,427.30000000,431.10000000,400.00000000,402.40000000,661874.71700000,275709832.71810000,399164
1644969600000,2022-02-16 00:00:00,BNB/USDT,432.40000000,433.50000000,422.20000000,427.30000000,606252.49300000,259874383.31590000,376834
1644883200000,2022-02-15 00:00:00,BNB/USDT,403.40000000,443.00000000,402.70000000,432.40000000,1184143.99000000,505124380.01280000,555199
1644796800000,2022-02-14 00:00:00,BNB/USDT,398.00000000,404.50000000,390.60000000,403.40000000,472210.31800000,187826631.94520000,281617
1644710400000,2022-02-13 00:00:00,BNB/USDT,403.60000000,407.80000000,394.70000000,397.90000000,388657.05200000,156144929.82260000,267677
