unix,date,symbol,open,high,low,close,Volume TUSD,Volume USDT,tradecount
1650153600000,2022-04-17 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99970000,0.99970000,8427760.00000000,8426287.83660000,8153
1650067200000,2022-04-16 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99980000,0.99990000,3051549.00000000,3051101.95440000,3888
1649980800000,2022-04-15 00:00:00,TUSD/USDT,1.00000000,1.00000000,0.99980000,0.99980000,7890964.00000000,7890247.48620000,11359
1649894400000,2022-04-14 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99970000,1.00000000,14446072.00000000,14443904.25760000,20385
1649808000000,2022-04-13 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99990000,15907739.00000000,15905634.94790000,23030
1649721600000,2022-04-12 00:00:00,TUSD/USDT,0.99990000,1.00010000,0.99970000,0.99990000,29183245.00000000,29180333.78720000,40814
1649635200000,2022-04-11 00:00:00,TUSD/USDT,0.99970000,1.00000000,0.99970000,0.99990000,24061204.00000000,24056883.14890000,32853
1649548800000,2022-04-10 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99950000,0.99970000,27377080.00000000,27368872.63010000,25190
1649462400000,2022-04-09 00:00:00,TUSD/USDT,0.99970000,1.00000000,0.99970000,0.99980000,13837753.00000000,13835699.76090000,19260
1649376000000,2022-04-08 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99970000,0.99980000,26017847.00000000,26013154.25580000,34289
1649289600000,2022-04-07 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99990000,18137153.00000000,18135567.02630000,24216
1649203200000,2022-04-06 00:00:00,TUSD/USDT,0.99980000,1.00010000,0.99960000,0.99990000,29827710.00000000,29823572.56790000,40681
1649116800000,2022-04-05 00:00:00,TUSD/USDT,0.99980000,1.00000000,0.99970000,0.99990000,27990434.00000000,27985780.69960000,36034
1649030400000,2022-04-04 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99970000,0.99980000,24289831.00000000,24284731.74160000,32209
1648944000000,2022-04-03 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99960000,0.99980000,17774952.00000000,17769609.21880000,23879
1648857600000,2022-04-02 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99960000,0.99970000,23573622.00000000,23566432.49900000,33236
1648771200000,2022-04-01 00:00:00,TUSD/USDT,0.99980000,0.99980000,0.99950000,0.99970000,24042927.00000000,24035258.10380000,32866
1648684800000,2022-03-31 00:00:00,TUSD/USDT,0.99980000,0.99990000,0.99960000,0.99970000,28285793.00000000,28278528.46690000,37642
1648598400000,2022-03-30 00:00:00,TUSD/USDT,0.99960000,0.99980000,0.99960000,0.99980000,16470468.00000000,16465405.85680000,21298
1648512000000,2022-03-29 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99950000,0.99960000,28589025.00000000,28577354.70110000,35866
1648425600000,2022-03-28 00:00:00,TUSD/USDT,0.99970000,0.99970000,0.99940000,0.99960000,20356852.00000000,20348315.63430000,24936
1648339200000,2022-03-27 00:00:00,TUSD/USDT,0.99960000,0.99980000,0.99950000,0.99970000,25175161.00000000,25165762.51730000,30600
1648252800000,2022-03-26 00:00:00,TUSD/USDT,0.99970000,0.99970000,0.99950000,0.99960000,10051521.00000000,10047309.58360000,12467
1648166400000,2022-03-25 00:00:00,TUSD/USDT,0.99950000,0.99970000,0.99930000,0.99970000,31906474.00000000,31890836.99750000,39992
1648080000000,2022-03-24 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99930000,0.99950000,37721596.00000000,37703571.99990000,43681
1647993600000,2022-03-23 00:00:00,TUSD/USDT,0.99960000,0.99980000,0.99950000,0.99960000,30750970.00000000,30738656.01950000,38748
1647907200000,2022-03-22 00:00:00,TUSD/USDT,0.99960000,0.99970000,0.99950000,0.99960000,12619310.00000000,12614092.36220000,16668
1647820800000,2022-03-21 00:00:00,TUSD/USDT,0.99950000,0.99970000,0.99940000,0.99970000,13753565.00000000,13747536.06210000,16456
1647734400000,2022-03-20 00:00:00,TUSD/USDT,0.99950000,0.99960000,0.99920000,0.99950000,14793808.00000000,14785533.04480000,17128
1647648000000,2022-03-19 00:00:00,TUSD/USDT,0.99960000,0.99960000,0.99930000,0.99950000,17561725.00000000,17552280.84930000,23083
1647561600000,2022-03-18 00:00:00,TUSD/USDT,0.99960000,0.99960000,0.99920000,0.99960000,19439883.00000000,19429421.69360000,22981
1647475200000,2022-03-17 00:00:00,TUSD/USDT,0.99970000,0.99970000,0.99950000,0.99960000,16510590.00000000,16503902.42620000,21593
1647388800000,2022-03-16 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99950000,0.99970000,29864371.00000000,29853871.54950000,35031
1647302400000,2022-03-15 00:00:00,TUSD/USDT,0.99990000,0.99990000,0.99970000,0.99970000,19640571.00000000,19636136.89710000,23334
1647216000000,2022-03-14 00:00:00,TUSD/USDT,0.99980000,1.00000000,0.99970000,0.99990000,27640247.00000000,27636879.52540000,33997
1647129600000,2022-03-13 00:00:00,TUSD/USDT,1.00000000,1.00000000,0.99970000,0.99980000,14166910.00000000,14165096.58040000,19030
1647043200000,2022-03-12 00:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,16277180.00000000,16276229.47890000,21126
1646956800000,2022-03-11 00:00:00,TUSD/USDT,0.99960000,1.00000000,0.99950000,1.00000000,23853201.00000000,23845640.87550000,30214
1646870400000,2022-03-10 00:00:00,TUSD/USDT,0.99970000,0.99980000,0.99950000,0.99960000,27828048.00000000,27817933.26570000,35420
1646784000000,2022-03-09 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99970000,0.99970000,30589178.00000000,30583545.62300000,36047
1646697600000,2022-03-08 00:00:00,TUSD/USDT,0.99980000,1.00000000,0.99980000,0.99990000,25333765.00000000,25331389.50920000,30476
1646611200000,2022-03-07 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99990000,37026066.00000000,37022397.87000000,47704
1646524800000,2022-03-06 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99980000,0.99990000,17521630.00000000,17519703.94890000,23646
1646438400000,2022-03-05 00:00:00,TUSD/USDT,0.99990000,0.99990000,0.99980000,0.99990000,14973274.00000000,14970903.42040000,19265
