unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1649289600000,2022-04-07 00:00:00,NEO/USDT,22.45000000,23.44000000,22.19000000,23.27000000,419996.72000000,9596611.93780000,37515
1649203200000,2022-04-06 00:00:00,NEO/USDT,25.74000000,25.75000000,22.37000000,22.46000000,760789.58000000,18194993.88340000,84681
1649116800000,2022-04-05 00:00:00,NEO/USDT,27.18000000,27.43000000,25.70000000,25.76000000,334269.97000000,8890473.99420000,44800
1649030400000,2022-04-04 00:00:00,NEO/USDT,28.00000000,28.03000000,26.10000000,27.18000000,393206.70000000,10598430.67890000,49459
1648944000000,2022-04-03 00:00:00,NEO/USDT,27.54000000,28.60000000,26.82000000,28.00000000,349444.95000000,9693121.21780000,45663
1648857600000,2022-04-02 00:00:00,NEO/USDT,28.03000000,28.82000000,27.32000000,27.53000000,490065.12000000,13788389.58200000,57894
1648771200000,2022-04-01 00:00:00,NEO/USDT,26.91000000,28.21000000,25.55000000,28.03000000,585339.38000000,15708856.10800000,70393
1648684800000,2022-03-31 00:00:00,NEO/USDT,28.36000000,29.63000000,26.49000000,26.90000000,1003848.59000000,28208878.29600000,115580
1648598400000,2022-03-30 00:00:00,NEO/USDT,26.84000000,29.39000000,25.89000000,28.36000000,1307665.82000000,36802006.73740000,128412
1648512000000,2022-03-29 00:00:00,NEO/USDT,25.32000000,29.34000000,25.26000000,26.84000000,1589114.04000000,43658728.50900000,166990
1648425600000,2022-03-28 00:00:00,NEO/USDT,26.05000000,26.99000000,25.07000000,25.33000000,706303.50000000,18636807.11100000,70951
1648339200000,2022-03-27 00:00:00,NEO/USDT,24.74000000,26.39000000,23.96000000,26.05000000,818044.83000000,20668141.02940000,82543
1648252800000,2022-03-26 00:00:00,NEO/USDT,24.16000000,24.77000000,24.02000000,24.73000000,318070.35000000,7760342.08150000,30075
1648166400000,2022-03-25 00:00:00,NEO/USDT,24.40000000,25.30000000,23.51000000,24.16000000,574437.44000000,14058842.33000000,55826
1648080000000,2022-03-24 00:00:00,NEO/USDT,24.33000000,24.50000000,23.53000000,24.40000000,511854.11000000,12265171.19770000,45850
