unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1644624000000,2022-02-12 00:00:00,XRP/USDT,0.75900000,0.85320000,0.74650000,0.82230000,477906804.00000000,383669503.46210000,526512
1644537600000,2022-02-11 00:00:00,XRP/USDT,0.82530000,0.83390000,0.75000000,0.75910000,482432190.00000000,388566707.06260000,519699
1644451200000,2022-02-10 00:00:00,XRP/USDT,0.86990000,0.89750000,0.82100000,0.82530000,495010890.00000000,427414739.41700000,540824
1644364800000,2022-02-09 00:00:00,XRP/USDT,0.87630000,0.91680000,0.84130000,0.86970000,626331950.00000000,549165655.71570000,803724
1644278400000,2022-02-08 00:00:00,XRP/USDT,0.83140000,0.91420000,0.80340000,0.87630000,1048879447.00000000,896908628.40320000,1336231
1644192000000,2022-02-07 00:00:00,XRP/USDT,0.68250000,0.83900000,0.67120000,0.83140000,640917209.00000000,491875684.79330000,773279
1644105600000,2022-02-06 00:00:00,XRP/USDT,0.66560000,0.68800000,0.65890000,0.68250000,157303166.00000000,105499040.73990000,163540
1644019200000,2022-02-05 00:00:00,XRP/USDT,0.65570000,0.68690000,0.65000000,0.66560000,310296779.00000000,207432932.93090000,296990
1643932800000,2022-02-04 00:00:00,XRP/USDT,0.61010000,0.65890000,0.60440000,0.65550000,263927174.00000000,164697317.05470000,234991
1643846400000,2022-02-03 00:00:00,XRP/USDT,0.60060000,0.61160000,0.58860000,0.61020000,168129675.00000000,100903909.16220000,166019
1643760000000,2022-02-02 00:00:00,XRP/USDT,0.62840000,0.63140000,0.59550000,0.60060000,186608762.00000000,114856317.49680000,195159
1643673600000,2022-02-01 00:00:00,XRP/USDT,0.61740000,0.63080000,0.61070000,0.62840000,174300620.00000000,108325641.37910000,179180
1643587200000,2022-01-31 00:00:00,XRP/USDT,0.60120000,0.62420000,0.58030000,0.61740000,213749309.00000000,127444698.19010000,202749
1643500800000,2022-01-30 00:00:00,XRP/USDT,0.61750000,0.62320000,0.59730000,0.60130000,146491081.00000000,89634415.73160000,155232
1643414400000,2022-01-29 00:00:00,XRP/USDT,0.61120000,0.62550000,0.60830000,0.61740000,154572094.00000000,95192596.38400000,157630
1643328000000,2022-01-28 00:00:00,XRP/USDT,0.60890000,0.61400000,0.59160000,0.61110000,221009653.00000000,133208703.75990000,215447
1643241600000,2022-01-27 00:00:00,XRP/USDT,0.61930000,0.62470000,0.58930000,0.60880000,292543906.00000000,176630359.01270000,264351
1643155200000,2022-01-26 00:00:00,XRP/USDT,0.61780000,0.65860000,0.60470000,0.61930000,466864710.00000000,293046543.43720000,425965
1643068800000,2022-01-25 00:00:00,XRP/USDT,0.61180000,0.62430000,0.58720000,0.61800000,319618429.00000000,192980719.10920000,298398
1642982400000,2022-01-24 00:00:00,XRP/USDT,0.62840000,0.62860000,0.55240000,0.61180000,513343471.00000000,300019737.62390000,520142
1642896000000,2022-01-23 00:00:00,XRP/USDT,0.59660000,0.63520000,0.59000000,0.62830000,331234207.00000000,202062551.64780000,347609
1642809600000,2022-01-22 00:00:00,XRP/USDT,0.63680000,0.65420000,0.54890000,0.59660000,769947907.12000000,460971551.62332400,714427
1642723200000,2022-01-21 00:00:00,XRP/USDT,0.71990000,0.72850000,0.61120000,0.63680000,612944841.00000000,410698993.89040000,579921
1642636800000,2022-01-20 00:00:00,XRP/USDT,0.73810000,0.76220000,0.71610000,0.71990000,205931050.00000000,153121537.08210000,218718
1642550400000,2022-01-19 00:00:00,XRP/USDT,0.75100000,0.75330000,0.72310000,0.73810000,190555142.00000000,140704196.39300000,214504
1642464000000,2022-01-18 00:00:00,XRP/USDT,0.76160000,0.76860000,0.73520000,0.75090000,188367099.00000000,141172279.38000000,209700
1642377600000,2022-01-17 00:00:00,XRP/USDT,0.77850000,0.78050000,0.74980000,0.76170000,181653025.00000000,138537212.05760000,205250
1642291200000,2022-01-16 00:00:00,XRP/USDT,0.77910000,0.78840000,0.76800000,0.77840000,125068081.00000000,97287674.58340000,157210
1642204800000,2022-01-15 00:00:00,XRP/USDT,0.77330000,0.79000000,0.76800000,0.77910000,138443019.00000000,107785186.26760000,159163
1642118400000,2022-01-14 00:00:00,XRP/USDT,0.76770000,0.80000000,0.75130000,0.77320000,221104212.00000000,170797410.13730000,242416
1642032000000,2022-01-13 00:00:00,XRP/USDT,0.79860000,0.80240000,0.76040000,0.76800000,227833834.00000000,178544935.22660000,247605
1641945600000,2022-01-12 00:00:00,XRP/USDT,0.77020000,0.81600000,0.75700000,0.79870000,295701910.00000000,231115520.77390000,330205
1641859200000,2022-01-11 00:00:00,XRP/USDT,0.73990000,0.77680000,0.73060000,0.77030000,254065075.00000000,190447525.44920000,285391
1641772800000,2022-01-10 00:00:00,XRP/USDT,0.75300000,0.75890000,0.69670000,0.73990000,313080154.00000000,228730493.47380000,359880
1641686400000,2022-01-09 00:00:00,XRP/USDT,0.74520000,0.76670000,0.73810000,0.75300000,151521399.00000000,113888420.53690000,211515
1641600000000,2022-01-08 00:00:00,XRP/USDT,0.76340000,0.77680000,0.72220000,0.74520000,253028571.00000000,190213053.80150000,347309
1641513600000,2022-01-07 00:00:00,XRP/USDT,0.77900000,0.78080000,0.72870000,0.76340000,372926762.00000000,281919749.21780000,511973
1641427200000,2022-01-06 00:00:00,XRP/USDT,0.77250000,0.79090000,0.73770000,0.77910000,307202277.00000000,234402002.09060000,415169
1641340800000,2022-01-05 00:00:00,XRP/USDT,0.82270000,0.83720000,0.70920000,0.77260000,370612510.00000000,294783762.29870000,482373
