unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,tradecount
1642118400000,2022-01-14 00:00:00,UNI/USDT,15.46000000,15.96000000,15.13000000,15.86000000,959028.98000000,14939823.13890000,49512
1642032000000,2022-01-13 00:00:00,UNI/USDT,16.29000000,16.59000000,15.39000000,15.45000000,1407495.12000000,22589036.59210000,68086
1641945600000,2022-01-12 00:00:00,UNI/USDT,15.97000000,16.61000000,15.95000000,16.28000000,1250210.31000000,20389911.75030000,56915
1641859200000,2022-01-11 00:00:00,UNI/USDT,15.12000000,16.32000000,14.98000000,15.96000000,1710488.91000000,26810435.03050000,71692
1641772800000,2022-01-10 00:00:00,UNI/USDT,15.80000000,16.46000000,14.64000000,15.11000000,2523686.14000000,39110002.35320000,119334
1641686400000,2022-01-09 00:00:00,UNI/USDT,14.93000000,16.30000000,14.81000000,15.80000000,1329527.16000000,20816332.92220000,69883
1641600000000,2022-01-08 00:00:00,UNI/USDT,15.77000000,16.20000000,14.53000000,14.92000000,1535850.86000000,23777976.53590000,72935
1641513600000,2022-01-07 00:00:00,UNI/USDT,17.07000000,17.16000000,15.23000000,15.76000000,2769810.35000000,44066666.18190000,123749
1641427200000,2022-01-06 00:00:00,UNI/USDT,17.12000000,17.26000000,16.08000000,17.06000000,2682869.44000000,44852431.35960000,118991
1641340800000,2022-01-05 00:00:00,UNI/USDT,18.21000000,19.87000000,16.31000000,17.11000000,4464972.53000000,82911399.70740000,229422
1641254400000,2022-01-04 00:00:00,UNI/USDT,18.47000000,19.15000000,17.68000000,18.21000000,2349174.13000000,43352647.49680000,133968
