unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1651795200000,2022-05-06 00:00:00,STX/USDT,0.88100000,0.89800000,0.83200000,0.86100000,2325168.20000000,1997450.34890000,7820
1651708800000,2022-05-05 00:00:00,STX/USDT,0.98600000,1.00200000,0.86500000,0.88100000,3806402.00000000,3519080.06070000,12196
1651622400000,2022-05-04 00:00:00,STX/USDT,0.91800000,0.98900000,0.90700000,0.98600000,2691449.70000000,2537161.03650000,9476
1651536000000,2022-05-03 00:00:00,STX/USDT,0.93800000,0.94900000,0.90700000,0.91600000,1226348.00000000,1144573.40590000,5342
1651449600000,2022-05-02 00:00:00,STX/USDT,0.94700000,1.01700000,0.90800000,0.93800000,5455379.00000000,5245289.22830000,15872
1651363200000,2022-05-01 00:00:00,STX/USDT,0.91800000,0.96100000,0.89300000,0.94700000,1930616.09000000,1790045.58317500,8541
1651276800000,2022-04-30 00:00:00,STX/USDT,1.00400000,1.00800000,0.91600000,0.91800000,1562403.00000000,1516610.80280000,8176
1651190400000,2022-04-29 00:00:00,STX/USDT,1.04800000,1.11200000,0.99200000,1.00300000,3599441.60000000,3748866.07250000,16585
1651104000000,2022-04-28 00:00:00,STX/USDT,1.04900000,1.08700000,1.02700000,1.04800000,2620039.40000000,2765690.78730000,13597
1651017600000,2022-04-27 00:00:00,STX/USDT,1.02900000,1.05900000,1.01100000,1.04900000,1980149.90000000,2062715.71160000,10533
1650931200000,2022-04-26 00:00:00,STX/USDT,1.11200000,1.12000000,1.02200000,1.02900000,2488574.10000000,2665107.39730000,10994
1650844800000,2022-04-25 00:00:00,STX/USDT,1.11700000,1.12000000,1.03900000,1.11200000,3211310.30000000,3447443.21470000,13532
1650758400000,2022-04-24 00:00:00,STX/USDT,1.12900000,1.21300000,1.11300000,1.11700000,3590543.30000000,4136258.11400000,18672
1650672000000,2022-04-23 00:00:00,STX/USDT,1.14200000,1.14600000,1.11600000,1.12800000,1006044.60000000,1137972.55840000,6261
1650585600000,2022-04-22 00:00:00,STX/USDT,1.14800000,1.19600000,1.12500000,1.14200000,1891873.90000000,2183794.16850000,10602
1650499200000,2022-04-21 00:00:00,STX/USDT,1.18400000,1.21800000,1.14300000,1.14800000,2384678.20000000,2838499.38020000,12931
1650412800000,2022-04-20 00:00:00,STX/USDT,1.22300000,1.22300000,1.16700000,1.18500000,2250463.90000000,2698723.43760000,11787
1650326400000,2022-04-19 00:00:00,STX/USDT,1.21500000,1.23600000,1.19100000,1.22400000,3001992.60000000,3647535.88090000,16626
1650240000000,2022-04-18 00:00:00,STX/USDT,1.12900000,1.29700000,1.07500000,1.21400000,13652092.00000000,16620876.48840000,65261
1650153600000,2022-04-17 00:00:00,STX/USDT,1.17400000,1.17700000,1.12800000,1.12900000,1232874.10000000,1436799.07510000,7792
1650067200000,2022-04-16 00:00:00,STX/USDT,1.18400000,1.18600000,1.15100000,1.17400000,952461.90000000,1115855.05950000,6084
1649980800000,2022-04-15 00:00:00,STX/USDT,1.18500000,1.19900000,1.16500000,1.18300000,1412412.20000000,1665367.52420000,8885
1649894400000,2022-04-14 00:00:00,STX/USDT,1.20500000,1.27500000,1.16800000,1.18400000,2289573.10000000,2794166.96360000,12432
