unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1642723200000,2022-01-21 00:00:00,NEAR/USDT,15.25400000,15.70600000,11.93000000,13.22400000,27700767.60000000,389886310.56220000,572273
1642636800000,2022-01-20 00:00:00,NEAR/USDT,16.20800000,17.57900000,15.15000000,15.25900000,11565497.50000000,191982567.18590000,283263
1642550400000,2022-01-19 00:00:00,NEAR/USDT,17.70400000,17.85700000,16.16500000,16.21000000,11754017.80000000,201456908.02000000,333336
1642464000000,2022-01-18 00:00:00,NEAR/USDT,17.69200000,18.22300000,16.75800000,17.70500000,12486326.50000000,219118456.32550000,326374
1642377600000,2022-01-17 00:00:00,NEAR/USDT,20.14200000,20.18200000,17.35800000,17.69200000,11529269.00000000,214161342.48380000,334128
1642291200000,2022-01-16 00:00:00,NEAR/USDT,19.28100000,20.45600000,18.75100000,20.14200000,9327904.70000000,183593096.34420000,265124
1642204800000,2022-01-15 00:00:00,NEAR/USDT,20.19300000,20.29900000,19.03200000,19.28300000,6770365.20000000,132125374.97220000,210947
1642118400000,2022-01-14 00:00:00,NEAR/USDT,19.62500000,20.59700000,18.45100000,20.18400000,18119207.95000000,351658335.92537600,497329
1642032000000,2022-01-13 00:00:00,NEAR/USDT,17.57400000,19.87700000,17.17200000,19.62300000,20613100.57000000,389392245.15424400,538861
1641945600000,2022-01-12 00:00:00,NEAR/USDT,18.04000000,18.83800000,17.39200000,17.57300000,15768190.80000000,284378773.70674000,443023
1641859200000,2022-01-11 00:00:00,NEAR/USDT,15.47400000,18.44100000,15.29200000,18.04500000,22842154.90000000,382252231.89445000,593461
1641772800000,2022-01-10 00:00:00,NEAR/USDT,13.51400000,15.55500000,13.20000000,15.47400000,21510045.80000000,310641822.65990000,481709
1641686400000,2022-01-09 00:00:00,NEAR/USDT,13.82000000,14.31600000,13.10300000,13.51900000,7801429.70000000,106565330.73510000,184136
1641600000000,2022-01-08 00:00:00,NEAR/USDT,15.05900000,15.56100000,13.31000000,13.82000000,12265867.70000000,176246231.10390000,279010
1641513600000,2022-01-07 00:00:00,NEAR/USDT,15.93500000,16.05000000,14.27800000,15.05700000,16078326.80000000,244176911.65730000,353368
