unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,tradecount
1650672000000,2022-04-23 00:00:00,AVAX/USDT,74.04000000,74.42000000,72.35000000,72.83000000,865209.06000000,63820809.36410000,107149
1650585600000,2022-04-22 00:00:00,AVAX/USDT,75.01000000,77.22000000,73.33000000,74.03000000,1261738.35000000,94738870.02420000,162494
1650499200000,2022-04-21 00:00:00,AVAX/USDT,78.22000000,80.21000000,74.13000000,75.02000000,1363115.38000000,105975760.68610000,179006
1650412800000,2022-04-20 00:00:00,AVAX/USDT,80.27000000,81.31000000,77.46000000,78.21000000,1497709.36000000,118692630.08250000,190828
1650326400000,2022-04-19 00:00:00,AVAX/USDT,77.73000000,81.10000000,76.80000000,80.28000000,1467897.35000000,115958594.80080000,184872
1650240000000,2022-04-18 00:00:00,AVAX/USDT,75.41000000,77.95000000,71.50000000,77.73000000,1812465.17000000,135244038.96040000,227384
1650153600000,2022-04-17 00:00:00,AVAX/USDT,77.74000000,78.68000000,75.08000000,75.42000000,776597.80000000,60068940.32630000,106308
1650067200000,2022-04-16 00:00:00,AVAX/USDT,77.44000000,78.26000000,76.50000000,77.74000000,616267.40000000,47650208.09700000,79050
1649980800000,2022-04-15 00:00:00,AVAX/USDT,76.80000000,78.53000000,74.75000000,77.43000000,1318038.23000000,101105439.98830000,168686
1649894400000,2022-04-14 00:00:00,AVAX/USDT,80.20000000,81.87000000,76.16000000,76.81000000,1741713.69000000,137665312.29710000,246886
1649808000000,2022-04-13 00:00:00,AVAX/USDT,76.32000000,80.65000000,75.80000000,80.20000000,1680567.89000000,131776613.79940000,271729
1649721600000,2022-04-12 00:00:00,AVAX/USDT,74.35000000,79.50000000,73.88000000,76.31000000,2146833.60000000,164615852.78660000,347797
1649635200000,2022-04-11 00:00:00,AVAX/USDT,81.00000000,81.54000000,72.73000000,74.35000000,3030700.60000000,232945107.74880000,381289
1649548800000,2022-04-10 00:00:00,AVAX/USDT,84.57000000,85.66000000,80.67000000,81.01000000,1119413.47000000,93634764.77430000,183036
1649462400000,2022-04-09 00:00:00,AVAX/USDT,83.66000000,85.56000000,81.88000000,84.55000000,1368929.80000000,114362501.96270000,208349
1649376000000,2022-04-08 00:00:00,AVAX/USDT,87.56000000,90.56000000,82.69000000,83.66000000,3189742.20000000,279883276.91840000,452858
