unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1646784000000,2022-03-09 00:00:00,VET/USDT,0.04661000,0.04998000,0.04650000,0.04852000,1012199119.90000000,49391150.33914100,126224
1646697600000,2022-03-08 00:00:00,VET/USDT,0.04596000,0.04759000,0.04540000,0.04660000,819637570.10000000,38115766.75353100,110953
1646611200000,2022-03-07 00:00:00,VET/USDT,0.04768000,0.04897000,0.04467000,0.04596000,1097224395.10000000,51351951.15704900,141929
1646524800000,2022-03-06 00:00:00,VET/USDT,0.05039000,0.05089000,0.04718000,0.04768000,738669601.80000000,36245573.42241100,103331
1646438400000,2022-03-05 00:00:00,VET/USDT,0.04911000,0.05085000,0.04751000,0.05039000,699894130.50000000,34631137.26874400,101342
1646352000000,2022-03-04 00:00:00,VET/USDT,0.05458000,0.05527000,0.04819000,0.04911000,1268902685.80000000,65237624.67192100,188504
1646265600000,2022-03-03 00:00:00,VET/USDT,0.05296000,0.05729000,0.05163000,0.05459000,1759743936.50000000,95811737.90402500,318219
1646179200000,2022-03-02 00:00:00,VET/USDT,0.05292000,0.05404000,0.05120000,0.05296000,952686557.70000000,50154732.79967000,172906
1646092800000,2022-03-01 00:00:00,VET/USDT,0.05207000,0.05448000,0.05114000,0.05291000,1154190067.30000000,60898338.35603800,209074
1646006400000,2022-02-28 00:00:00,VET/USDT,0.04553000,0.05218000,0.04427000,0.05209000,1143496383.70000000,54359199.30986500,176711
1645920000000,2022-02-27 00:00:00,VET/USDT,0.04828000,0.04920000,0.04448000,0.04552000,858249183.30000000,40205527.99678900,135877
1645833600000,2022-02-26 00:00:00,VET/USDT,0.04754000,0.04938000,0.04717000,0.04827000,718710668.10000000,34716736.50934600,112860
1645747200000,2022-02-25 00:00:00,VET/USDT,0.04460000,0.04820000,0.04350000,0.04753000,926436704.40000000,42441906.46982400,138383
1645660800000,2022-02-24 00:00:00,VET/USDT,0.04550000,0.04600000,0.03905000,0.04460000,2390877595.00000000,100286428.71473300,305721
1645574400000,2022-02-23 00:00:00,VET/USDT,0.04728000,0.05000000,0.04533000,0.04549000,878044886.50000000,42041422.73914300,129984
1645488000000,2022-02-22 00:00:00,VET/USDT,0.04522000,0.04737000,0.04374000,0.04728000,945275899.80000000,43207224.81719000,136706
1645401600000,2022-02-21 00:00:00,VET/USDT,0.04923000,0.05166000,0.04488000,0.04522000,1215114479.90000000,59134159.58809700,198384
1645315200000,2022-02-20 00:00:00,VET/USDT,0.05255000,0.05270000,0.04827000,0.04920000,732506719.40000000,36603609.83765200,119615
1645228800000,2022-02-19 00:00:00,VET/USDT,0.05318000,0.05459000,0.05143000,0.05256000,454235234.50000000,24028990.61466800,85006
1645142400000,2022-02-18 00:00:00,VET/USDT,0.05458000,0.05611000,0.05248000,0.05317000,660823618.80000000,35925921.09891200,132474
1645056000000,2022-02-17 00:00:00,VET/USDT,0.06032000,0.06151000,0.05430000,0.05456000,718817803.40000000,41590349.44570200,143552
1644969600000,2022-02-16 00:00:00,VET/USDT,0.06108000,0.06198000,0.05821000,0.06029000,538012828.50000000,32356823.93245200,128383
1644883200000,2022-02-15 00:00:00,VET/USDT,0.05619000,0.06113000,0.05558000,0.06107000,576576291.80000000,33981109.80648700,117218
1644796800000,2022-02-14 00:00:00,VET/USDT,0.05627000,0.05740000,0.05425000,0.05618000,657779511.90000000,36685068.36710200,111589
