unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1645142400000,2022-02-18 00:00:00,USDC/USDT,0.99940000,0.99960000,0.99940000,0.99950000,84313297.00000000,84269757.84420000,26262
1645056000000,2022-02-17 00:00:00,USDC/USDT,0.99960000,0.99960000,0.99940000,0.99950000,93626010.00000000,93576474.71150000,28994
1644969600000,2022-02-16 00:00:00,USDC/USDT,0.99930000,0.99960000,0.99930000,0.99950000,87748737.00000000,87697114.60820000,28813
1644883200000,2022-02-15 00:00:00,USDC/USDT,0.99970000,0.99970000,0.99910000,0.99940000,106438664.00000000,106381340.18540000,33755
1644796800000,2022-02-14 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99940000,0.99960000,74111285.00000000,74080675.85630000,27786
1644710400000,2022-02-13 00:00:00,USDC/USDT,0.99950000,0.99950000,0.99940000,0.99940000,49968275.00000000,49941459.39790000,20929
1644624000000,2022-02-12 00:00:00,USDC/USDT,0.99940000,0.99950000,0.99930000,0.99950000,59458837.00000000,59423007.75740000,27398
1644537600000,2022-02-11 00:00:00,USDC/USDT,0.99940000,0.99950000,0.99930000,0.99930000,91476576.00000000,91419445.38480000,48768
1644451200000,2022-02-10 00:00:00,USDC/USDT,0.99940000,0.99960000,0.99910000,0.99940000,156916413.00000000,156811322.89880000,63749
1644364800000,2022-02-09 00:00:00,USDC/USDT,0.99940000,0.99950000,0.99920000,0.99940000,143685085.00000000,143592437.89310000,63206
1644278400000,2022-02-08 00:00:00,USDC/USDT,0.99940000,0.99950000,0.99910000,0.99930000,129132793.00000000,129038576.22090000,62409
1644192000000,2022-02-07 00:00:00,USDC/USDT,0.99960000,0.99960000,0.99920000,0.99940000,116542259.00000000,116459949.64240000,53292
1644105600000,2022-02-06 00:00:00,USDC/USDT,0.99930000,0.99960000,0.99920000,0.99950000,65683520.00000000,65649000.41300000,28503
1644019200000,2022-02-05 00:00:00,USDC/USDT,0.99950000,0.99960000,0.99900000,0.99920000,84856007.00000000,84794235.75870000,35359
1643932800000,2022-02-04 00:00:00,USDC/USDT,0.99950000,0.99960000,0.99920000,0.99950000,107812893.00000000,107758615.82660000,29605
1643846400000,2022-02-03 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99940000,0.99950000,94786844.00000000,94749298.27390000,25283
1643760000000,2022-02-02 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99950000,0.99950000,93864633.00000000,93824539.04100000,27197
1643673600000,2022-02-01 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99940000,0.99950000,83018546.00000000,82982381.46990000,28300
1643587200000,2022-01-31 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99980000,84708694.00000000,84686125.28630000,30334
1643500800000,2022-01-30 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99970000,0.99970000,55064999.00000000,55050592.87600000,22968
1643414400000,2022-01-29 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99970000,0.99970000,72462737.00000000,72445455.72070000,27360
1643328000000,2022-01-28 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99960000,0.99990000,177094772.00000000,177058675.28420000,39129
1643241600000,2022-01-27 00:00:00,USDC/USDT,0.99940000,1.00000000,0.99930000,0.99990000,123703927.00000000,123657624.80990000,36455
1643155200000,2022-01-26 00:00:00,USDC/USDT,0.99950000,0.99980000,0.99920000,0.99930000,145674094.00000000,145598202.71850000,41355
1643068800000,2022-01-25 00:00:00,USDC/USDT,0.99970000,0.99990000,0.99930000,0.99940000,131259955.00000000,131213487.00240000,42395
1642982400000,2022-01-24 00:00:00,USDC/USDT,0.99990000,1.00010000,0.99950000,0.99970000,217842355.00000000,217787098.24660000,61985
1642896000000,2022-01-23 00:00:00,USDC/USDT,1.00000000,1.00010000,0.99990000,0.99990000,108945803.00000000,108942279.76440000,38067
1642809600000,2022-01-22 00:00:00,USDC/USDT,1.00010000,1.00020000,0.99960000,1.00010000,199607812.00000000,199579666.75390000,57570
1642723200000,2022-01-21 00:00:00,USDC/USDT,0.99990000,1.00030000,0.99960000,1.00000000,201946329.00000000,201933121.24210000,52091
1642636800000,2022-01-20 00:00:00,USDC/USDT,0.99980000,1.00060000,0.99980000,0.99990000,158941958.00000000,158944540.87780000,47332
1642550400000,2022-01-19 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99970000,0.99980000,104302837.00000000,104282830.77390000,37354
1642464000000,2022-01-18 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99970000,0.99970000,110507152.00000000,110486459.30460000,33744
1642377600000,2022-01-17 00:00:00,USDC/USDT,0.99960000,0.99990000,0.99960000,0.99990000,86547825.00000000,86527729.00550000,30055
1642291200000,2022-01-16 00:00:00,USDC/USDT,0.99950000,0.99980000,0.99940000,0.99970000,58881115.00000000,58853427.67960000,21449
1642204800000,2022-01-15 00:00:00,USDC/USDT,0.99960000,0.99980000,0.99950000,0.99950000,72403097.00000000,72375413.45290000,20708
1642118400000,2022-01-14 00:00:00,USDC/USDT,0.99950000,1.00000000,0.99940000,0.99960000,103527568.00000000,103486714.57480000,29011
1642032000000,2022-01-13 00:00:00,USDC/USDT,0.99960000,0.99960000,0.99920000,0.99950000,116797443.00000000,116733259.87810000,34365
1641945600000,2022-01-12 00:00:00,USDC/USDT,0.99940000,0.99960000,0.99940000,0.99950000,137971047.00000000,137907550.95250000,39631
1641859200000,2022-01-11 00:00:00,USDC/USDT,1.00010000,1.00010000,0.99930000,0.99950000,131906327.00000000,131883693.37300000,38869
1641772800000,2022-01-10 00:00:00,USDC/USDT,1.00010000,1.00020000,1.00000000,1.00000000,102663666.00000000,102675111.97770000,37292
1641686400000,2022-01-09 00:00:00,USDC/USDT,1.00020000,1.00030000,1.00000000,1.00010000,96865070.00000000,96880694.63050000,34324
