unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1648425600000,2022-03-28 00:00:00,DOT/USDT,22.47000000,23.33000000,21.78000000,21.99000000,9121823.41000000,207898225.83000000,297796
1648339200000,2022-03-27 00:00:00,DOT/USDT,20.92000000,22.48000000,20.71000000,22.46000000,5215022.34000000,111669490.89430000,204128
1648252800000,2022-03-26 00:00:00,DOT/USDT,20.54000000,21.04000000,20.24000000,20.91000000,3152433.21000000,65393377.61910000,83292
1648166400000,2022-03-25 00:00:00,DOT/USDT,21.26000000,21.38000000,20.18000000,20.53000000,5860263.46000000,122159246.63690000,179435
1648080000000,2022-03-24 00:00:00,DOT/USDT,21.02000000,21.50000000,20.25000000,21.26000000,7157667.86000000,149850409.67940000,253390
1647993600000,2022-03-23 00:00:00,DOT/USDT,20.22000000,21.13000000,19.80000000,21.02000000,8218890.14000000,168389826.75030000,358597
1647907200000,2022-03-22 00:00:00,DOT/USDT,18.75000000,20.48000000,18.68000000,20.21000000,8290773.03000000,164180480.43950000,299893
1647820800000,2022-03-21 00:00:00,DOT/USDT,18.66000000,19.06000000,18.40000000,18.74000000,4133739.80000000,77622162.85130000,133812
1647734400000,2022-03-20 00:00:00,DOT/USDT,19.40000000,19.46000000,18.32000000,18.65000000,3665220.06000000,69138849.91930000,125787
1647648000000,2022-03-19 00:00:00,DOT/USDT,18.95000000,19.79000000,18.86000000,19.40000000,4955267.89000000,95919571.51950000,173538
1647561600000,2022-03-18 00:00:00,DOT/USDT,18.75000000,19.20000000,18.13000000,18.95000000,4587101.48000000,85522884.97680000,136167
1647475200000,2022-03-17 00:00:00,DOT/USDT,19.05000000,19.35000000,18.63000000,18.75000000,4721544.69000000,89440439.93460000,131772
1647388800000,2022-03-16 00:00:00,DOT/USDT,17.81000000,19.19000000,17.69000000,19.05000000,8986827.35000000,164584412.32860000,272437
1647302400000,2022-03-15 00:00:00,DOT/USDT,17.70000000,18.06000000,17.05000000,17.81000000,4076701.31000000,71398973.66280000,139848
1647216000000,2022-03-14 00:00:00,DOT/USDT,17.22000000,17.86000000,17.00000000,17.70000000,4696610.20000000,82067579.76850000,132672
1647129600000,2022-03-13 00:00:00,DOT/USDT,18.14000000,18.40000000,17.13000000,17.22000000,4818274.40000000,86043792.84750000,170760
1647043200000,2022-03-12 00:00:00,DOT/USDT,17.70000000,18.75000000,17.68000000,18.14000000,6497976.77000000,118947709.24800000,229172
1646956800000,2022-03-11 00:00:00,DOT/USDT,16.97000000,18.49000000,16.69000000,17.69000000,9499810.42000000,168964892.80600000,258063
1646870400000,2022-03-10 00:00:00,DOT/USDT,17.87000000,17.93000000,16.68000000,16.96000000,5040319.15000000,86136500.09760000,144441
1646784000000,2022-03-09 00:00:00,DOT/USDT,16.97000000,18.09000000,16.88000000,17.86000000,5742934.66000000,101623622.26220000,163035
1646697600000,2022-03-08 00:00:00,DOT/USDT,16.41000000,17.28000000,16.31000000,16.97000000,6274147.57000000,105483150.65200000,167468
1646611200000,2022-03-07 00:00:00,DOT/USDT,16.99000000,17.14000000,16.00000000,16.41000000,7315211.21000000,121108507.96400000,205994
1646524800000,2022-03-06 00:00:00,DOT/USDT,17.33000000,17.59000000,16.51000000,16.99000000,5491289.20000000,93558590.64100000,158563
1646438400000,2022-03-05 00:00:00,DOT/USDT,16.79000000,17.80000000,16.18000000,17.33000000,5101742.90000000,86612442.44660000,160982
1646352000000,2022-03-04 00:00:00,DOT/USDT,18.02000000,18.06000000,16.50000000,16.79000000,8560042.35000000,147170903.42020000,217361
1646265600000,2022-03-03 00:00:00,DOT/USDT,18.61000000,18.67000000,17.77000000,18.02000000,7635060.13000000,139034673.92460000,199171
1646179200000,2022-03-02 00:00:00,DOT/USDT,18.90000000,19.26000000,18.35000000,18.61000000,8422865.21000000,158046725.71660000,236252
1646092800000,2022-03-01 00:00:00,DOT/USDT,18.94000000,19.56000000,18.32000000,18.89000000,11677345.78000000,220601939.17170000,320889
1646006400000,2022-02-28 00:00:00,DOT/USDT,17.50000000,19.11000000,16.62000000,18.94000000,14924830.91000000,262571854.01230000,326935
1645920000000,2022-02-27 00:00:00,DOT/USDT,18.03000000,18.72000000,17.07000000,17.50000000,9879341.39000000,176867091.99670000,262992
1645833600000,2022-02-26 00:00:00,DOT/USDT,17.26000000,18.78000000,17.16000000,18.03000000,10979780.48000000,198667445.30760000,309549
1645747200000,2022-02-25 00:00:00,DOT/USDT,16.17000000,17.52000000,15.78000000,17.25000000,8246998.11000000,134910660.02790000,211521
1645660800000,2022-02-24 00:00:00,DOT/USDT,15.97000000,16.75000000,14.05000000,16.16000000,22293881.52800000,336875109.94484700,466213
1645574400000,2022-02-23 00:00:00,DOT/USDT,16.61000000,17.51000000,15.91000000,15.97000000,10055911.02000000,168295996.14670000,237953
1645488000000,2022-02-22 00:00:00,DOT/USDT,16.18000000,16.73000000,15.80000000,16.60000000,8427783.22000000,136778287.80050000,185607
1645401600000,2022-02-21 00:00:00,DOT/USDT,16.91000000,17.74000000,16.03000000,16.18000000,11178458.24000000,188216746.64640000,273365
1645315200000,2022-02-20 00:00:00,DOT/USDT,17.85000000,17.87000000,16.67000000,16.91000000,6518197.69000000,110985772.17130000,165504
1645228800000,2022-02-19 00:00:00,DOT/USDT,17.82000000,18.22000000,17.34000000,17.84000000,3507413.77000000,62338104.68880000,105340
1645142400000,2022-02-18 00:00:00,DOT/USDT,18.17000000,18.60000000,17.59000000,17.82000000,6205167.39000000,112325850.22070000,180630
1645056000000,2022-02-17 00:00:00,DOT/USDT,19.77000000,20.01000000,17.80000000,18.16000000,7873044.60000000,147856052.99310000,244846
1644969600000,2022-02-16 00:00:00,DOT/USDT,20.17000000,20.19000000,19.05000000,19.76000000,5643848.37000000,110895415.86910000,174940
1644883200000,2022-02-15 00:00:00,DOT/USDT,18.70000000,20.34000000,18.64000000,20.16000000,5428840.64000000,106302711.80980000,175305
1644796800000,2022-02-14 00:00:00,DOT/USDT,18.74000000,18.95000000,18.02000000,18.70000000,5075585.02000000,93800750.71520000,146572
1644710400000,2022-02-13 00:00:00,DOT/USDT,18.83000000,19.28000000,18.38000000,18.73000000,4675422.19000000,88371484.01400000,126204
1644624000000,2022-02-12 00:00:00,DOT/USDT,18.98000000,19.42000000,18.25000000,18.82000000,6512111.12000000,122688402.68880000,187030
1644537600000,2022-02-11 00:00:00,DOT/USDT,20.51000000,20.73000000,18.58000000,18.98000000,9586582.78000000,192061181.46840000,269262
1644451200000,2022-02-10 00:00:00,DOT/USDT,21.95000000,22.48000000,20.49000000,20.51000000,9903304.31000000,213074605.83560000,328132
1644364800000,2022-02-09 00:00:00,DOT/USDT,21.66000000,22.24000000,21.05000000,21.94000000,5280116.45000000,114891147.54860000,169292
1644278400000,2022-02-08 00:00:00,DOT/USDT,22.36000000,23.19000000,21.06000000,21.66000000,10692150.43000000,234488489.33290000,367800
1644192000000,2022-02-07 00:00:00,DOT/USDT,21.91000000,22.70000000,21.39000000,22.35000000,9933306.22000000,220581220.08290000,367182
