unix,date,symbol,open,high,low,close,Volume XTZ,Volume USDT,tradecount
1649289600000,2022-04-07 00:00:00,XTZ/USDT,3.28700000,3.43100000,3.23800000,3.38700000,2643621.20000000,8888922.43970000,40188
1649203200000,2022-04-06 00:00:00,XTZ/USDT,3.67400000,3.67400000,3.23400000,3.28800000,4376194.90000000,15140981.36370000,78763
1649116800000,2022-04-05 00:00:00,XTZ/USDT,3.89800000,3.93000000,3.65600000,3.67400000,2827962.70000000,10793513.54880000,42483
1649030400000,2022-04-04 00:00:00,XTZ/USDT,4.04100000,4.04200000,3.71500000,3.89800000,3340828.00000000,12956009.03510000,54634
1648944000000,2022-04-03 00:00:00,XTZ/USDT,3.91500000,4.06700000,3.88500000,4.04200000,3525949.30000000,14099141.04370000,51995
1648857600000,2022-04-02 00:00:00,XTZ/USDT,3.90400000,4.13300000,3.88400000,3.91400000,5857894.30000000,23466002.66750000,100379
1648771200000,2022-04-01 00:00:00,XTZ/USDT,3.72200000,3.98000000,3.54000000,3.90400000,5319246.50000000,20057570.13670000,83141
1648684800000,2022-03-31 00:00:00,XTZ/USDT,3.83200000,4.02500000,3.66000000,3.72200000,7414861.20000000,28633986.10800000,117559
1648598400000,2022-03-30 00:00:00,XTZ/USDT,3.79200000,3.88300000,3.65100000,3.83200000,3637426.90000000,13820175.95410000,61655
1648512000000,2022-03-29 00:00:00,XTZ/USDT,3.71300000,3.92700000,3.70000000,3.79300000,4472232.50000000,17139656.51910000,77482
1648425600000,2022-03-28 00:00:00,XTZ/USDT,3.86100000,3.98500000,3.68000000,3.71400000,4405030.10000000,17103322.32550000,78877
1648339200000,2022-03-27 00:00:00,XTZ/USDT,3.65800000,3.86600000,3.63600000,3.86200000,3526877.80000000,13205362.73470000,54883
1648252800000,2022-03-26 00:00:00,XTZ/USDT,3.51400000,3.78900000,3.47800000,3.65800000,4950399.00000000,18219371.11920000,74707
1648166400000,2022-03-25 00:00:00,XTZ/USDT,3.53400000,3.58500000,3.43200000,3.51500000,3331678.50000000,11697610.72690000,48825
1648080000000,2022-03-24 00:00:00,XTZ/USDT,3.45600000,3.56900000,3.41300000,3.53400000,3149479.60000000,11015122.53310000,44684
1647993600000,2022-03-23 00:00:00,XTZ/USDT,3.29900000,3.57000000,3.29200000,3.45600000,5256448.40000000,18080397.63830000,76297
1647907200000,2022-03-22 00:00:00,XTZ/USDT,3.23900000,3.39100000,3.22300000,3.30000000,3760063.90000000,12481411.60840000,39466
1647820800000,2022-03-21 00:00:00,XTZ/USDT,3.33400000,3.33800000,3.19300000,3.23900000,3274820.70000000,10688177.86320000,41925
1647734400000,2022-03-20 00:00:00,XTZ/USDT,3.25800000,3.43300000,3.20300000,3.33500000,6172047.60000000,20467227.91480000,77750
1647648000000,2022-03-19 00:00:00,XTZ/USDT,3.15100000,3.29300000,3.15000000,3.25900000,2683435.20000000,8671297.25550000,34501
1647561600000,2022-03-18 00:00:00,XTZ/USDT,3.08100000,3.17400000,3.01600000,3.15100000,2750014.30000000,8494890.87440000,26144
1647475200000,2022-03-17 00:00:00,XTZ/USDT,3.09800000,3.15600000,3.06300000,3.08100000,2314243.20000000,7179386.00920000,24091
1647388800000,2022-03-16 00:00:00,XTZ/USDT,2.96900000,3.10500000,2.92200000,3.09900000,4380211.00000000,13130325.87760000,44806
1647302400000,2022-03-15 00:00:00,XTZ/USDT,2.99500000,3.01200000,2.88200000,2.96900000,2233416.90000000,6567294.68870000,22724
1647216000000,2022-03-14 00:00:00,XTZ/USDT,2.90600000,3.01700000,2.85700000,2.99700000,2281548.20000000,6707897.30590000,26696
1647129600000,2022-03-13 00:00:00,XTZ/USDT,3.02400000,3.08400000,2.90400000,2.90500000,1748364.40000000,5257162.03390000,21285
1647043200000,2022-03-12 00:00:00,XTZ/USDT,2.98500000,3.08300000,2.98100000,3.02400000,1656113.20000000,5036506.91290000,18327
1646956800000,2022-03-11 00:00:00,XTZ/USDT,3.05300000,3.10900000,2.95900000,2.98500000,2875080.00000000,8702186.80150000,31996
1646870400000,2022-03-10 00:00:00,XTZ/USDT,3.17400000,3.24200000,2.95600000,3.05300000,3590420.90000000,10981591.95520000,40353
1646784000000,2022-03-09 00:00:00,XTZ/USDT,3.01000000,3.19000000,3.00800000,3.17400000,2746015.20000000,8567448.19800000,30373
1646697600000,2022-03-08 00:00:00,XTZ/USDT,2.92000000,3.04300000,2.90600000,3.01000000,3109143.70000000,9248865.02050000,29515
1646611200000,2022-03-07 00:00:00,XTZ/USDT,2.97300000,3.07800000,2.83900000,2.92000000,4634112.70000000,13670515.76420000,41929
1646524800000,2022-03-06 00:00:00,XTZ/USDT,3.14600000,3.17600000,2.96000000,2.97300000,2190627.40000000,6670081.43920000,25582
1646438400000,2022-03-05 00:00:00,XTZ/USDT,3.08100000,3.16700000,2.97600000,3.14600000,2469771.00000000,7604188.75270000,30156
1646352000000,2022-03-04 00:00:00,XTZ/USDT,3.39100000,3.40100000,3.04000000,3.08200000,3489185.50000000,11229303.07120000,46890
1646265600000,2022-03-03 00:00:00,XTZ/USDT,3.49300000,3.52200000,3.30100000,3.39300000,3040303.50000000,10389792.65680000,45326
1646179200000,2022-03-02 00:00:00,XTZ/USDT,3.49600000,3.65000000,3.37000000,3.49200000,4801827.40000000,16757979.23600000,69797
1646092800000,2022-03-01 00:00:00,XTZ/USDT,3.53500000,3.66800000,3.42200000,3.49400000,4375349.70000000,15420338.08170000,67208
1646006400000,2022-02-28 00:00:00,XTZ/USDT,3.11400000,3.56600000,3.03600000,3.53500000,5683679.30000000,18472037.77080000,68349
1645920000000,2022-02-27 00:00:00,XTZ/USDT,3.42700000,3.45200000,3.05500000,3.11400000,6217967.80000000,20420511.59550000,75643
1645833600000,2022-02-26 00:00:00,XTZ/USDT,3.21000000,3.49000000,3.19800000,3.42700000,6094442.40000000,20552878.95600000,81540
1645747200000,2022-02-25 00:00:00,XTZ/USDT,3.03200000,3.25500000,2.95900000,3.21000000,6790056.90000000,20990383.96430000,66992
1645660800000,2022-02-24 00:00:00,XTZ/USDT,2.93700000,3.07200000,2.56000000,3.03200000,13725765.00000000,37856701.36990000,123011
1645574400000,2022-02-23 00:00:00,XTZ/USDT,3.06500000,3.22600000,2.92800000,2.93500000,6445969.20000000,19966139.56390000,60084
1645488000000,2022-02-22 00:00:00,XTZ/USDT,2.97200000,3.07800000,2.81500000,3.06500000,10809216.50000000,31799736.12020000,84090
1645401600000,2022-02-21 00:00:00,XTZ/USDT,3.27000000,3.47500000,2.94300000,2.97100000,7941883.30000000,25721316.78540000,82391
1645315200000,2022-02-20 00:00:00,XTZ/USDT,3.60100000,3.60400000,3.21800000,3.27000000,4335365.20000000,14500191.86610000,47626
1645228800000,2022-02-19 00:00:00,XTZ/USDT,3.62100000,3.69900000,3.47200000,3.60000000,2691956.80000000,9689143.91460000,31238
1645142400000,2022-02-18 00:00:00,XTZ/USDT,3.67200000,3.86200000,3.58800000,3.62200000,3568824.20000000,13256253.37700000,43316
1645056000000,2022-02-17 00:00:00,XTZ/USDT,4.04200000,4.05500000,3.61400000,3.67300000,4329456.60000000,16731131.72960000,61630
1644969600000,2022-02-16 00:00:00,XTZ/USDT,4.15000000,4.19200000,3.94500000,4.04200000,3029680.40000000,12309705.30200000,47885
1644883200000,2022-02-15 00:00:00,XTZ/USDT,3.94400000,4.18800000,3.89800000,4.15000000,3178835.20000000,13001496.29250000,41351
1644796800000,2022-02-14 00:00:00,XTZ/USDT,3.84700000,3.99800000,3.73200000,3.94400000,3379738.80000000,13068285.63340000,47131
1644710400000,2022-02-13 00:00:00,XTZ/USDT,4.10700000,4.13000000,3.81300000,3.84700000,2753043.50000000,10946286.75800000,39069
1644624000000,2022-02-12 00:00:00,XTZ/USDT,4.30500000,4.43100000,4.04500000,4.10800000,8172179.50000000,34629444.90420000,129007
1644537600000,2022-02-11 00:00:00,XTZ/USDT,4.12000000,4.46800000,4.01700000,4.30700000,9095067.40000000,38475049.46220000,139589
1644451200000,2022-02-10 00:00:00,XTZ/USDT,4.43800000,4.58000000,4.10500000,4.12000000,9091162.40000000,39702460.19270000,127961
1644364800000,2022-02-09 00:00:00,XTZ/USDT,4.39600000,4.60600000,4.32200000,4.44100000,8846617.00000000,39654944.20470000,122681
1644278400000,2022-02-08 00:00:00,XTZ/USDT,4.14400000,4.46000000,4.00300000,4.39400000,11811170.10000000,50249149.63890000,175873
1644192000000,2022-02-07 00:00:00,XTZ/USDT,3.92400000,4.19400000,3.83500000,4.14400000,5489045.20000000,22084444.87980000,78609
1644105600000,2022-02-06 00:00:00,XTZ/USDT,3.93400000,3.99900000,3.76800000,3.92200000,4378283.40000000,16986771.06310000,53768
1644019200000,2022-02-05 00:00:00,XTZ/USDT,4.00900000,4.08000000,3.85600000,3.93300000,5256336.60000000,20890496.20110000,70240
1643932800000,2022-02-04 00:00:00,XTZ/USDT,3.83500000,4.03200000,3.67300000,4.01100000,7506024.40000000,28954436.21620000,92425
1643846400000,2022-02-03 00:00:00,XTZ/USDT,3.75400000,3.97200000,3.60700000,3.83800000,11357951.90000000,43548229.44040000,121274
1643760000000,2022-02-02 00:00:00,XTZ/USDT,3.73900000,3.90000000,3.57000000,3.75100000,11277713.00000000,42447200.23420000,129595
1643673600000,2022-02-01 00:00:00,XTZ/USDT,3.48800000,3.76900000,3.47400000,3.74000000,5710100.10000000,20468971.41590800,66700
1643587200000,2022-01-31 00:00:00,XTZ/USDT,3.27000000,3.53000000,3.09800000,3.48800000,5897089.20000000,19802157.83980000,68545
1643500800000,2022-01-30 00:00:00,XTZ/USDT,3.09400000,3.50500000,3.08800000,3.27000000,7549789.00000000,25267012.12400000,88616
1643414400000,2022-01-29 00:00:00,XTZ/USDT,3.02700000,3.13600000,3.00400000,3.09400000,2315822.80000000,7127934.34580000,29262
1643328000000,2022-01-28 00:00:00,XTZ/USDT,2.90600000,3.04700000,2.83000000,3.02600000,3668043.70000000,10738133.04810000,39552
1643241600000,2022-01-27 00:00:00,XTZ/USDT,2.94500000,3.05400000,2.73600000,2.90400000,3618839.40000000,10416519.92860000,38930
1643155200000,2022-01-26 00:00:00,XTZ/USDT,2.92200000,3.22900000,2.85300000,2.94800000,4396701.20000000,13259464.11330000,59812
1643068800000,2022-01-25 00:00:00,XTZ/USDT,2.97100000,3.01900000,2.84100000,2.92000000,4356762.90000000,12752987.81300000,49017
1642982400000,2022-01-24 00:00:00,XTZ/USDT,3.07900000,3.08000000,2.53900000,2.96800000,7196637.86000000,19764243.10841700,76289
1642896000000,2022-01-23 00:00:00,XTZ/USDT,2.95300000,3.15900000,2.83600000,3.07900000,4255344.80000000,12779567.61280000,57017
1642809600000,2022-01-22 00:00:00,XTZ/USDT,3.33400000,3.43600000,2.69700000,2.95800000,9362771.72000000,28074195.54147300,109933
1642723200000,2022-01-21 00:00:00,XTZ/USDT,3.70200000,3.77000000,3.25800000,3.33500000,9546749.90000000,33627586.08300000,119544
1642636800000,2022-01-20 00:00:00,XTZ/USDT,3.87600000,4.08500000,3.67800000,3.70200000,3173761.40000000,12398863.63880000,49658
1642550400000,2022-01-19 00:00:00,XTZ/USDT,4.11200000,4.14300000,3.80700000,3.87800000,4202824.90000000,16524250.58180000,57880
1642464000000,2022-01-18 00:00:00,XTZ/USDT,4.05200000,4.21000000,3.92500000,4.11200000,4303191.70000000,17516919.63730000,56340
1642377600000,2022-01-17 00:00:00,XTZ/USDT,4.28800000,4.31300000,3.99400000,4.05000000,2444311.20000000,10126195.23200000,38970
1642291200000,2022-01-16 00:00:00,XTZ/USDT,4.27400000,4.34300000,4.19500000,4.29000000,2184902.20000000,9338956.14480000,36123
1642204800000,2022-01-15 00:00:00,XTZ/USDT,4.28900000,4.36100000,4.22600000,4.27700000,2369667.30000000,10183640.44370000,32677
1642118400000,2022-01-14 00:00:00,XTZ/USDT,4.11900000,4.31900000,4.07400000,4.28700000,2880680.30000000,12108209.11790000,46844
1642032000000,2022-01-13 00:00:00,XTZ/USDT,4.39000000,4.42400000,4.09100000,4.12000000,4485916.00000000,19205243.81370000,64754
1641945600000,2022-01-12 00:00:00,XTZ/USDT,4.16800000,4.46100000,4.14600000,4.38300000,5728197.00000000,24745650.78100000,74643
1641859200000,2022-01-11 00:00:00,XTZ/USDT,4.02700000,4.22400000,3.93600000,4.16800000,3526449.30000000,14384755.85900000,52828
1641772800000,2022-01-10 00:00:00,XTZ/USDT,4.21500000,4.26400000,3.78200000,4.02600000,5556379.30000000,22341388.20580000,78964
1641686400000,2022-01-09 00:00:00,XTZ/USDT,4.00600000,4.34600000,3.96800000,4.21700000,4970468.70000000,20816965.00390000,67671
1641600000000,2022-01-08 00:00:00,XTZ/USDT,4.26000000,4.37100000,3.85900000,4.00500000,5133283.70000000,21186277.78400000,71740
1641513600000,2022-01-07 00:00:00,XTZ/USDT,4.45500000,4.48500000,4.05000000,4.25300000,7526890.40000000,31949034.79040000,110674
