unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1644451200000,2022-02-10 00:00:00,ICP/USDT,23.07000000,23.22000000,21.41000000,21.57000000,2696892.96000000,60500938.36730000,133668
1644364800000,2022-02-09 00:00:00,ICP/USDT,23.00000000,23.41000000,22.43000000,23.07000000,1845107.26000000,42509731.01800000,90174
1644278400000,2022-02-08 00:00:00,ICP/USDT,24.03000000,24.68000000,22.26000000,23.00000000,2983415.84000000,69787042.68990000,144776
1644192000000,2022-02-07 00:00:00,ICP/USDT,23.36000000,24.45000000,22.74000000,24.02000000,2982348.34000000,71023065.93990000,132733
1644105600000,2022-02-06 00:00:00,ICP/USDT,22.24000000,24.26000000,22.23000000,23.36000000,2585085.23000000,60063278.92290000,128861
1644019200000,2022-02-05 00:00:00,ICP/USDT,22.26000000,23.15000000,21.88000000,22.24000000,2243539.81000000,50495736.12650000,107665
1643932800000,2022-02-04 00:00:00,ICP/USDT,20.78000000,22.39000000,20.42000000,22.26000000,2992379.58000000,63616606.16030000,136994
1643846400000,2022-02-03 00:00:00,ICP/USDT,21.59000000,22.09000000,20.02000000,20.79000000,3142538.70000000,65286952.16830000,137305
1643760000000,2022-02-02 00:00:00,ICP/USDT,20.15000000,22.33000000,19.92000000,21.59000000,4903533.26000000,104940421.52920000,239595
1643673600000,2022-02-01 00:00:00,ICP/USDT,19.82000000,20.54000000,19.66000000,20.16000000,2040984.79000000,40910399.64960000,88002
1643587200000,2022-01-31 00:00:00,ICP/USDT,19.25000000,20.05000000,18.51000000,19.80000000,2481805.31000000,47844570.41190000,93421
1643500800000,2022-01-30 00:00:00,ICP/USDT,20.17000000,20.47000000,18.85000000,19.23000000,3487582.59000000,69011118.94340000,126287
1643414400000,2022-01-29 00:00:00,ICP/USDT,20.29000000,21.36000000,20.02000000,20.17000000,2626370.87000000,54187431.45600000,105302
1643328000000,2022-01-28 00:00:00,ICP/USDT,19.58000000,20.68000000,18.92000000,20.30000000,2661238.53000000,52525448.80100000,126088
1643241600000,2022-01-27 00:00:00,ICP/USDT,19.81000000,20.06000000,18.49000000,19.59000000,4156184.15000000,79780415.42420000,150798
1643155200000,2022-01-26 00:00:00,ICP/USDT,20.05000000,21.83000000,19.64000000,19.81000000,4685235.32000000,96815524.62090000,201886
1643068800000,2022-01-25 00:00:00,ICP/USDT,20.71000000,21.38000000,19.64000000,20.05000000,3125636.66000000,64402458.92340000,141193
1642982400000,2022-01-24 00:00:00,ICP/USDT,21.27000000,21.93000000,18.41000000,20.72000000,5239948.01000000,104025642.99900000,230968
1642896000000,2022-01-23 00:00:00,ICP/USDT,20.55000000,22.15000000,20.06000000,21.28000000,2884048.69000000,60729436.91000000,131369
1642809600000,2022-01-22 00:00:00,ICP/USDT,24.19000000,25.32000000,18.06000000,20.55000000,7004823.96000000,150495304.67770000,384672
1642723200000,2022-01-21 00:00:00,ICP/USDT,24.97000000,25.51000000,22.33000000,24.20000000,5637216.13000000,135208901.81470000,324675
1642636800000,2022-01-20 00:00:00,ICP/USDT,26.52000000,28.60000000,24.73000000,24.98000000,3457397.27000000,93002524.85760000,179482
1642550400000,2022-01-19 00:00:00,ICP/USDT,29.36000000,29.61000000,26.15000000,26.52000000,3169788.58000000,87444464.97730000,159857
1642464000000,2022-01-18 00:00:00,ICP/USDT,29.64000000,31.72000000,28.17000000,29.37000000,2650416.27000000,78905839.32100000,187669
1642377600000,2022-01-17 00:00:00,ICP/USDT,31.15000000,31.33000000,28.62000000,29.64000000,2128974.21000000,63409916.77140000,158270
1642291200000,2022-01-16 00:00:00,ICP/USDT,32.54000000,33.12000000,30.50000000,31.15000000,2280546.30000000,72079206.64490000,152056
1642204800000,2022-01-15 00:00:00,ICP/USDT,32.52000000,33.98000000,31.75000000,32.55000000,1793177.97000000,58717600.00800000,135084
1642118400000,2022-01-14 00:00:00,ICP/USDT,31.37000000,33.10000000,31.05000000,32.51000000,2738731.62000000,87867563.08840000,176083
1642032000000,2022-01-13 00:00:00,ICP/USDT,35.01000000,35.10000000,31.21000000,31.38000000,3412062.50000000,113509724.52190000,244237
1641945600000,2022-01-12 00:00:00,ICP/USDT,34.44000000,35.93000000,32.61000000,34.99000000,4020960.88000000,138304288.16730000,290214
1641859200000,2022-01-11 00:00:00,ICP/USDT,34.31000000,37.04000000,33.59000000,34.43000000,4669598.51000000,164223313.54860000,358019
1641772800000,2022-01-10 00:00:00,ICP/USDT,36.15000000,37.79000000,32.18000000,34.31000000,7633781.26000000,267402143.37480000,595213
1641686400000,2022-01-09 00:00:00,ICP/USDT,32.93000000,37.34000000,32.79000000,36.15000000,7465611.75000000,262663515.52730000,558371
1641600000000,2022-01-08 00:00:00,ICP/USDT,30.23000000,33.93000000,30.10000000,32.92000000,6486311.40000000,209268322.35400000,461167
1641513600000,2022-01-07 00:00:00,ICP/USDT,30.59000000,32.58000000,27.01000000,30.23000000,6610521.36000000,196190529.56600000,421728
1641427200000,2022-01-06 00:00:00,ICP/USDT,30.63000000,32.63000000,28.56000000,30.59000000,7215531.19000000,217891182.07940000,381113
1641340800000,2022-01-05 00:00:00,ICP/USDT,33.79000000,38.02000000,29.00000000,30.64000000,10608704.84000000,365859386.20370000,802157
1641254400000,2022-01-04 00:00:00,ICP/USDT,29.26000000,35.56000000,27.81000000,33.79000000,8471538.89000000,274169320.72560000,816335
