unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1646784000000,2022-03-09 00:00:00,MKR/USDT,1749.00000000,1925.00000000,1741.00000000,1902.00000000,2718.85170000,5038959.81640000,18411
1646697600000,2022-03-08 00:00:00,MKR/USDT,1739.00000000,1794.00000000,1717.00000000,1749.00000000,2965.70110000,5230116.74540000,19394
1646611200000,2022-03-07 00:00:00,MKR/USDT,1719.00000000,1814.00000000,1669.00000000,1739.00000000,2353.28120000,4098206.52560000,14688
1646524800000,2022-03-06 00:00:00,MKR/USDT,1840.00000000,1860.00000000,1718.00000000,1719.00000000,1557.47840000,2813048.96180000,12395
1646438400000,2022-03-05 00:00:00,MKR/USDT,1796.00000000,1870.00000000,1749.00000000,1839.00000000,2332.71450000,4223675.09520000,16524
1646352000000,2022-03-04 00:00:00,MKR/USDT,2040.00000000,2050.00000000,1777.00000000,1796.00000000,2523.27580000,4802061.38650000,22602
1646265600000,2022-03-03 00:00:00,MKR/USDT,1993.00000000,2080.00000000,1885.00000000,2039.00000000,3923.99930000,7789470.30880000,32052
1646179200000,2022-03-02 00:00:00,MKR/USDT,1969.00000000,2034.00000000,1912.00000000,1995.00000000,1991.21430000,3938694.26970000,20829
1646092800000,2022-03-01 00:00:00,MKR/USDT,1966.00000000,2038.00000000,1909.00000000,1965.00000000,1829.66740000,3602266.23930000,19832
1646006400000,2022-02-28 00:00:00,MKR/USDT,1811.00000000,1967.00000000,1758.00000000,1965.00000000,3172.34460000,5870390.48910000,26617
1645920000000,2022-02-27 00:00:00,MKR/USDT,1940.00000000,1980.00000000,1784.00000000,1810.00000000,2359.90080000,4471060.97220000,21465
1645833600000,2022-02-26 00:00:00,MKR/USDT,1989.00000000,2051.00000000,1925.00000000,1941.00000000,2434.51670000,4868271.26380000,24977
1645747200000,2022-02-25 00:00:00,MKR/USDT,1894.00000000,2068.00000000,1841.00000000,1990.00000000,2522.12480000,4918638.86360000,27539
1645660800000,2022-02-24 00:00:00,MKR/USDT,1738.00000000,1942.00000000,1512.00000000,1893.00000000,4608.66050000,7854962.57677780,36739
1645574400000,2022-02-23 00:00:00,MKR/USDT,1813.00000000,1875.00000000,1737.00000000,1739.00000000,1204.75840000,2188851.52420000,10736
1645488000000,2022-02-22 00:00:00,MKR/USDT,1666.00000000,1834.00000000,1637.00000000,1814.00000000,2636.56470000,4596107.63300000,19166
1645401600000,2022-02-21 00:00:00,MKR/USDT,1778.00000000,1862.00000000,1661.00000000,1665.00000000,1809.15680000,3173792.13070000,17041
1645315200000,2022-02-20 00:00:00,MKR/USDT,1912.00000000,1913.00000000,1746.00000000,1776.00000000,1562.91120000,2825320.78260000,10828
1645228800000,2022-02-19 00:00:00,MKR/USDT,1901.00000000,1934.00000000,1844.00000000,1911.00000000,643.70010000,1218508.46140000,8827
1645142400000,2022-02-18 00:00:00,MKR/USDT,1971.00000000,2015.00000000,1887.00000000,1900.00000000,754.74500000,1475490.07960000,10704
1645056000000,2022-02-17 00:00:00,MKR/USDT,2127.00000000,2151.00000000,1944.00000000,1972.00000000,1045.24760000,2113040.80510000,14202
1644969600000,2022-02-16 00:00:00,MKR/USDT,2103.00000000,2181.00000000,2021.00000000,2124.00000000,1833.81200000,3852650.01920000,16763
1644883200000,2022-02-15 00:00:00,MKR/USDT,1938.00000000,2104.00000000,1928.00000000,2101.00000000,1360.13140000,2757680.51680000,13546
1644796800000,2022-02-14 00:00:00,MKR/USDT,1924.00000000,1990.00000000,1869.00000000,1937.00000000,1138.68330000,2184773.34900000,12575
1644710400000,2022-02-13 00:00:00,MKR/USDT,1993.00000000,2035.00000000,1924.00000000,1924.00000000,923.78030000,1833336.86820000,10374
1644624000000,2022-02-12 00:00:00,MKR/USDT,2024.00000000,2053.00000000,1958.00000000,1991.00000000,1185.80440000,2379914.38670000,8072
1644537600000,2022-02-11 00:00:00,MKR/USDT,2102.00000000,2132.00000000,1968.00000000,2025.00000000,1729.26880000,3554485.00050000,16503
1644451200000,2022-02-10 00:00:00,MKR/USDT,2245.00000000,2337.00000000,2086.00000000,2103.00000000,2842.43890000,6283574.57630000,24580
1644364800000,2022-02-09 00:00:00,MKR/USDT,2206.00000000,2267.00000000,2144.00000000,2247.00000000,1190.22680000,2638517.27510000,11915
1644278400000,2022-02-08 00:00:00,MKR/USDT,2254.00000000,2320.00000000,2164.00000000,2206.00000000,2961.94920000,6635879.52400000,19473
1644192000000,2022-02-07 00:00:00,MKR/USDT,2247.00000000,2291.00000000,2192.00000000,2250.00000000,2699.64840000,6019807.16680000,23102
1644105600000,2022-02-06 00:00:00,MKR/USDT,2254.00000000,2300.00000000,2185.00000000,2243.00000000,1829.10990000,4100004.89300000,16688
1644019200000,2022-02-05 00:00:00,MKR/USDT,2283.00000000,2330.00000000,2233.00000000,2256.00000000,3731.14240000,8483486.13840000,27563
1643932800000,2022-02-04 00:00:00,MKR/USDT,2293.00000000,2366.00000000,2217.00000000,2280.00000000,4184.64290000,9586475.29050000,29650
1643846400000,2022-02-03 00:00:00,MKR/USDT,2143.00000000,2339.00000000,2126.00000000,2295.00000000,3700.05820000,8317037.26240000,30629
1643760000000,2022-02-02 00:00:00,MKR/USDT,2195.00000000,2312.00000000,2089.00000000,2141.00000000,2369.15330000,5226002.01860000,21922
1643673600000,2022-02-01 00:00:00,MKR/USDT,2134.00000000,2243.00000000,2126.00000000,2196.00000000,2115.62080000,4625329.23550000,17870
1643587200000,2022-01-31 00:00:00,MKR/USDT,1999.00000000,2146.00000000,1937.00000000,2133.00000000,2235.26230000,4564473.65640000,16795
1643500800000,2022-01-30 00:00:00,MKR/USDT,1953.00000000,2009.00000000,1920.00000000,1999.00000000,1201.98210000,2352708.29590000,9880
1643414400000,2022-01-29 00:00:00,MKR/USDT,1869.00000000,1966.00000000,1856.00000000,1952.00000000,1600.82040000,3044007.61150000,12197
1643328000000,2022-01-28 00:00:00,MKR/USDT,1769.00000000,1880.00000000,1730.00000000,1871.00000000,1725.58300000,3110170.06230000,11930
1643241600000,2022-01-27 00:00:00,MKR/USDT,1702.00000000,1793.00000000,1646.00000000,1766.00000000,1789.87630000,3082172.58680000,12991
1643155200000,2022-01-26 00:00:00,MKR/USDT,1809.00000000,1875.00000000,1664.00000000,1704.00000000,5048.64940000,8964290.42290000,30606
1643068800000,2022-01-25 00:00:00,MKR/USDT,1922.00000000,1946.00000000,1795.00000000,1808.00000000,3492.31030000,6578014.32760000,20617
1642982400000,2022-01-24 00:00:00,MKR/USDT,1833.00000000,1964.00000000,1652.00000000,1921.00000000,3903.15050000,6957360.40110000,28087
1642896000000,2022-01-23 00:00:00,MKR/USDT,1800.00000000,1922.00000000,1762.00000000,1832.00000000,2832.53320000,5192670.60980000,27951
1642809600000,2022-01-22 00:00:00,MKR/USDT,1799.00000000,2093.00000000,1616.00000000,1799.00000000,11887.79920000,22284659.49160000,91381
1642723200000,2022-01-21 00:00:00,MKR/USDT,1901.00000000,1919.00000000,1700.00000000,1801.00000000,4843.78635000,8777340.10163010,28341
1642636800000,2022-01-20 00:00:00,MKR/USDT,1996.00000000,2062.00000000,1896.00000000,1905.00000000,984.45850000,1949760.18005000,8967
1642550400000,2022-01-19 00:00:00,MKR/USDT,2065.00000000,2066.00000000,1993.00000000,1996.00000000,1079.09750000,2197663.25740000,9334
1642464000000,2022-01-18 00:00:00,MKR/USDT,2095.00000000,2125.00000000,2030.00000000,2063.00000000,928.59160000,1922973.25040000,10987
1642377600000,2022-01-17 00:00:00,MKR/USDT,2254.00000000,2272.00000000,2073.00000000,2094.00000000,1087.28760000,2344241.18860000,11674
1642291200000,2022-01-16 00:00:00,MKR/USDT,2210.00000000,2260.00000000,2180.00000000,2255.00000000,613.29470000,1362059.94430000,7609
1642204800000,2022-01-15 00:00:00,MKR/USDT,2193.00000000,2244.00000000,2167.00000000,2212.00000000,608.34650000,1343194.36290000,6803
1642118400000,2022-01-14 00:00:00,MKR/USDT,2097.00000000,2198.00000000,2082.00000000,2191.00000000,749.64220000,1603411.88560000,8786
1642032000000,2022-01-13 00:00:00,MKR/USDT,2168.00000000,2200.00000000,2075.00000000,2097.00000000,1172.04870000,2515969.50380000,9461
1641945600000,2022-01-12 00:00:00,MKR/USDT,2075.00000000,2181.00000000,2039.00000000,2168.00000000,1410.31050000,2982759.09390000,12738
1641859200000,2022-01-11 00:00:00,MKR/USDT,1987.00000000,2087.00000000,1974.00000000,2076.00000000,1350.75090000,2753495.87910000,13372
