unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1650326400000,2022-04-19 00:00:00,XMR/USDT,266.30000000,268.90000000,250.00000000,253.90000000,156862.75500000,40374515.13820000,86122
1650240000000,2022-04-18 00:00:00,XMR/USDT,241.30000000,272.00000000,233.50000000,266.20000000,256320.09300000,64517818.08610000,178757
1650153600000,2022-04-17 00:00:00,XMR/USDT,236.10000000,244.00000000,234.70000000,241.40000000,68743.81600000,16392699.32210000,34549
1650067200000,2022-04-16 00:00:00,XMR/USDT,239.50000000,239.70000000,227.90000000,236.20000000,70713.00400000,16513811.89430000,36216
1649980800000,2022-04-15 00:00:00,XMR/USDT,229.20000000,240.50000000,228.00000000,239.40000000,82844.01000000,19488159.11870000,43469
1649894400000,2022-04-14 00:00:00,XMR/USDT,237.10000000,240.80000000,223.40000000,229.30000000,85644.06500000,19928868.26070000,47425
1649808000000,2022-04-13 00:00:00,XMR/USDT,232.70000000,239.00000000,227.30000000,237.10000000,95750.89900000,22348074.91810000,53682
1649721600000,2022-04-12 00:00:00,XMR/USDT,226.20000000,275.00000000,224.60000000,232.60000000,345563.67100000,83006026.86780000,204136
1649635200000,2022-04-11 00:00:00,XMR/USDT,235.60000000,244.20000000,215.20000000,226.20000000,293540.02400000,66357131.60530000,151052
1649548800000,2022-04-10 00:00:00,XMR/USDT,239.80000000,244.80000000,228.40000000,235.80000000,142834.68700000,33873566.50820000,79522
1649462400000,2022-04-09 00:00:00,XMR/USDT,217.20000000,245.00000000,215.90000000,239.80000000,217505.31600000,50961204.24430000,117735
1649376000000,2022-04-08 00:00:00,XMR/USDT,225.90000000,227.80000000,214.90000000,217.20000000,91833.05900000,20490556.12060000,44031
1649289600000,2022-04-07 00:00:00,XMR/USDT,213.10000000,228.30000000,212.40000000,226.00000000,116860.52900000,25782610.27700000,65679
1649203200000,2022-04-06 00:00:00,XMR/USDT,222.30000000,224.90000000,211.20000000,213.10000000,123540.23000000,26903516.21270000,70811
1649116800000,2022-04-05 00:00:00,XMR/USDT,222.20000000,228.70000000,217.80000000,222.40000000,108471.60400000,24333619.60730000,60154
1649030400000,2022-04-04 00:00:00,XMR/USDT,217.40000000,224.20000000,211.40000000,222.10000000,75282.50500000,16319742.51830000,51808
1648944000000,2022-04-03 00:00:00,XMR/USDT,212.60000000,219.10000000,209.00000000,217.30000000,47642.23700000,10201756.34400000,32875
1648857600000,2022-04-02 00:00:00,XMR/USDT,218.30000000,223.70000000,211.70000000,212.60000000,81797.07600000,17893318.64550000,48665
1648771200000,2022-04-01 00:00:00,XMR/USDT,212.70000000,222.00000000,208.60000000,218.40000000,87275.48100000,18908539.31490000,58168
1648684800000,2022-03-31 00:00:00,XMR/USDT,221.20000000,223.50000000,210.50000000,212.70000000,75730.10000000,16435693.15790000,52098
1648598400000,2022-03-30 00:00:00,XMR/USDT,222.00000000,223.90000000,215.70000000,221.20000000,80139.59400000,17643091.23710000,45750
1648512000000,2022-03-29 00:00:00,XMR/USDT,214.70000000,227.10000000,214.40000000,222.10000000,80372.35800000,17817075.63890000,56344
1648425600000,2022-03-28 00:00:00,XMR/USDT,215.50000000,221.80000000,212.60000000,214.80000000,83938.46900000,18336372.76620000,58063
1648339200000,2022-03-27 00:00:00,XMR/USDT,206.80000000,216.10000000,205.10000000,215.60000000,82324.46500000,17331530.77590000,52500
1648252800000,2022-03-26 00:00:00,XMR/USDT,199.60000000,210.00000000,199.20000000,206.80000000,72481.22700000,14912934.67770000,40093
1648166400000,2022-03-25 00:00:00,XMR/USDT,203.80000000,205.20000000,198.60000000,199.60000000,85739.10700000,17301103.24490000,37320
1648080000000,2022-03-24 00:00:00,XMR/USDT,197.10000000,204.50000000,193.70000000,203.70000000,85495.99200000,17137633.45280000,42038
1647993600000,2022-03-23 00:00:00,XMR/USDT,193.80000000,197.50000000,190.80000000,197.00000000,47640.27600000,9250635.28040000,25612
1647907200000,2022-03-22 00:00:00,XMR/USDT,191.40000000,198.20000000,189.50000000,193.80000000,72617.58800000,14197516.61090000,38818
1647820800000,2022-03-21 00:00:00,XMR/USDT,194.70000000,195.60000000,188.10000000,191.50000000,89742.12100000,17248728.92400000,45283
1647734400000,2022-03-20 00:00:00,XMR/USDT,197.30000000,205.00000000,193.90000000,194.80000000,92841.60900000,18431270.56870000,52615
1647648000000,2022-03-19 00:00:00,XMR/USDT,195.10000000,202.10000000,190.90000000,197.40000000,112391.22700000,22119239.94620000,53938
1647561600000,2022-03-18 00:00:00,XMR/USDT,187.80000000,196.80000000,185.80000000,195.10000000,93270.81300000,17801291.66360000,47137
1647475200000,2022-03-17 00:00:00,XMR/USDT,189.30000000,192.00000000,185.40000000,187.60000000,78835.17500000,14871151.57880000,41162
1647388800000,2022-03-16 00:00:00,XMR/USDT,183.10000000,193.30000000,182.20000000,189.30000000,154716.81700000,29279203.16860000,78870
1647302400000,2022-03-15 00:00:00,XMR/USDT,185.80000000,191.60000000,176.70000000,183.00000000,147211.04800000,27252516.73640000,70353
1647216000000,2022-03-14 00:00:00,XMR/USDT,175.60000000,186.50000000,173.70000000,185.90000000,112903.14600000,20475272.20370000,55655
1647129600000,2022-03-13 00:00:00,XMR/USDT,185.40000000,194.60000000,174.00000000,175.60000000,175340.03400000,32591184.03530000,92404
1647043200000,2022-03-12 00:00:00,XMR/USDT,170.60000000,186.90000000,169.50000000,185.40000000,143653.50700000,25871619.22770000,75392
1646956800000,2022-03-11 00:00:00,XMR/USDT,178.60000000,178.60000000,166.70000000,170.60000000,134645.37400000,23154661.47880000,64584
1646870400000,2022-03-10 00:00:00,XMR/USDT,188.50000000,192.50000000,165.20000000,178.60000000,219210.90200000,38520549.66420000,117740
1646784000000,2022-03-09 00:00:00,XMR/USDT,203.20000000,208.10000000,185.40000000,188.50000000,408028.72600000,80952959.00500000,206561
1646697600000,2022-03-08 00:00:00,XMR/USDT,157.80000000,278.00000000,157.10000000,203.10000000,330849.45600000,60087651.47400000,155743
1646611200000,2022-03-07 00:00:00,XMR/USDT,158.90000000,163.00000000,153.40000000,157.80000000,90975.04200000,14399802.28690000,34441
1646524800000,2022-03-06 00:00:00,XMR/USDT,166.00000000,173.70000000,158.70000000,158.90000000,131838.86800000,22060375.23180000,55308
1646438400000,2022-03-05 00:00:00,XMR/USDT,159.80000000,166.00000000,155.70000000,166.00000000,52279.23000000,8337468.26120000,25369
1646352000000,2022-03-04 00:00:00,XMR/USDT,172.00000000,179.30000000,156.00000000,159.90000000,124552.31600000,21078460.67150000,57057
1646265600000,2022-03-03 00:00:00,XMR/USDT,177.60000000,181.30000000,170.30000000,171.90000000,82667.76400000,14614299.53380000,38849
1646179200000,2022-03-02 00:00:00,XMR/USDT,177.60000000,181.20000000,172.70000000,177.70000000,81818.71900000,14516113.89360000,41557
1646092800000,2022-03-01 00:00:00,XMR/USDT,170.30000000,179.70000000,170.20000000,177.50000000,81134.11300000,14182434.99890000,53264
1646006400000,2022-02-28 00:00:00,XMR/USDT,150.60000000,171.00000000,148.50000000,170.40000000,99977.82800000,16013657.36950000,47018
1645920000000,2022-02-27 00:00:00,XMR/USDT,157.80000000,159.70000000,148.30000000,150.60000000,78036.48100000,12084095.18080000,41896
