unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,tradecount
1652140800000,2022-05-10 00:00:00,SHIB/USDT,0.00001400,0.00001797,0.00001352,0.00001618,25973859599826.00,418759484.30917280,695561
1652054400000,2022-05-09 00:00:00,SHIB/USDT,0.00001843,0.00001871,0.00001373,0.00001398,22059180510841.00,355301093.22182968,623848
1651968000000,2022-05-08 00:00:00,SHIB/USDT,0.00001927,0.00001934,0.00001823,0.00001843,7108160142821.00,132956299.11179435,189577
1651881600000,2022-05-07 00:00:00,SHIB/USDT,0.00002001,0.00002006,0.00001868,0.00001928,5027320858659.00,98673628.37961562,148784
1651795200000,2022-05-06 00:00:00,SHIB/USDT,0.00002027,0.00002038,0.00001950,0.00002001,6748275873919.00,134769998.95117188,175341
1651708800000,2022-05-05 00:00:00,SHIB/USDT,0.00002180,0.00002199,0.00001944,0.00002027,8147497653250.00,168401727.69951465,235128
1651622400000,2022-05-04 00:00:00,SHIB/USDT,0.00002031,0.00002188,0.00002026,0.00002180,6949892628809.00,145300106.34047196,195570
1651536000000,2022-05-03 00:00:00,SHIB/USDT,0.00002068,0.00002103,0.00001994,0.00002031,4768520819322.00,98057789.16592815,125580
1651449600000,2022-05-02 00:00:00,SHIB/USDT,0.00002154,0.00002175,0.00002015,0.00002067,6824606073856.00,142659656.43362495,176243
1651363200000,2022-05-01 00:00:00,SHIB/USDT,0.00002017,0.00002215,0.00001975,0.00002155,8169619792311.00,171563518.21786775,246969
1651276800000,2022-04-30 00:00:00,SHIB/USDT,0.00002221,0.00002248,0.00001837,0.00002016,8646863617875.00,182598177.62033221,278915
1651190400000,2022-04-29 00:00:00,SHIB/USDT,0.00002294,0.00002311,0.00002161,0.00002220,7887569053806.00,177071962.74064898,214053
1651104000000,2022-04-28 00:00:00,SHIB/USDT,0.00002343,0.00002353,0.00002267,0.00002294,4590640656872.00,106311407.68661357,157952
1651017600000,2022-04-27 00:00:00,SHIB/USDT,0.00002298,0.00002399,0.00002279,0.00002343,6800601845856.00,158484604.76263312,201470
1650931200000,2022-04-26 00:00:00,SHIB/USDT,0.00002432,0.00002468,0.00002256,0.00002297,7508406686357.00,178058378.32424487,265661
1650844800000,2022-04-25 00:00:00,SHIB/USDT,0.00002395,0.00002536,0.00002231,0.00002431,9831193292572.00,234346790.00125965,401704
1650758400000,2022-04-24 00:00:00,SHIB/USDT,0.00002410,0.00002437,0.00002352,0.00002396,2556203869787.00,61279074.75098929,116755
1650672000000,2022-04-23 00:00:00,SHIB/USDT,0.00002429,0.00002465,0.00002378,0.00002410,2926396898243.00,70983250.72588214,118549
1650585600000,2022-04-22 00:00:00,SHIB/USDT,0.00002431,0.00002468,0.00002398,0.00002429,3791174459062.00,92217815.10530999,147499
1650499200000,2022-04-21 00:00:00,SHIB/USDT,0.00002482,0.00002540,0.00002386,0.00002431,4991551458867.00,124032024.29930152,199565
1650412800000,2022-04-20 00:00:00,SHIB/USDT,0.00002542,0.00002587,0.00002461,0.00002483,6110090477200.00,154176646.34958130,237432
1650326400000,2022-04-19 00:00:00,SHIB/USDT,0.00002524,0.00002561,0.00002486,0.00002542,4669781705156.00,117793461.43098998,185207
1650240000000,2022-04-18 00:00:00,SHIB/USDT,0.00002464,0.00002537,0.00002362,0.00002523,7008164551766.00,171978955.18440293,264778
1650153600000,2022-04-17 00:00:00,SHIB/USDT,0.00002559,0.00002606,0.00002441,0.00002465,3895659166230.00,99513189.26034164,171362
1650067200000,2022-04-16 00:00:00,SHIB/USDT,0.00002590,0.00002608,0.00002525,0.00002559,2777177962439.00,71430595.90154643,122547
1649980800000,2022-04-15 00:00:00,SHIB/USDT,0.00002578,0.00002625,0.00002545,0.00002590,3582331240344.00,92729472.82538298,154451
1649894400000,2022-04-14 00:00:00,SHIB/USDT,0.00002693,0.00002744,0.00002519,0.00002578,10912450704907.00,286618899.74676909,406895
1649808000000,2022-04-13 00:00:00,SHIB/USDT,0.00002695,0.00002815,0.00002562,0.00002694,17024710600151.00,454888315.74945955,740374
1649721600000,2022-04-12 00:00:00,SHIB/USDT,0.00002217,0.00003000,0.00002191,0.00002700,37619440140686.00,1001179036.20542813,1635306
1649635200000,2022-04-11 00:00:00,SHIB/USDT,0.00002446,0.00002463,0.00002183,0.00002218,6047011810726.00,140777535.97489630,258005
1649548800000,2022-04-10 00:00:00,SHIB/USDT,0.00002459,0.00002544,0.00002436,0.00002446,3886000103844.00,96592264.33347290,187182
1649462400000,2022-04-09 00:00:00,SHIB/USDT,0.00002381,0.00002463,0.00002368,0.00002459,3006853678345.00,72204242.80664678,128714
1649376000000,2022-04-08 00:00:00,SHIB/USDT,0.00002479,0.00002517,0.00002350,0.00002381,4060989111900.00,99477598.00798468,187848
1649289600000,2022-04-07 00:00:00,SHIB/USDT,0.00002435,0.00002527,0.00002390,0.00002479,4622592258759.00,113994103.77785019,218562
1649203200000,2022-04-06 00:00:00,SHIB/USDT,0.00002675,0.00002683,0.00002416,0.00002436,8824295978042.00,223627624.37053203,457892
1649116800000,2022-04-05 00:00:00,SHIB/USDT,0.00002645,0.00002847,0.00002621,0.00002676,10735621800964.00,290965071.95422543,517884
1649030400000,2022-04-04 00:00:00,SHIB/USDT,0.00002683,0.00002754,0.00002557,0.00002645,7867944752555.00,209464885.41551058,383632
1648944000000,2022-04-03 00:00:00,SHIB/USDT,0.00002580,0.00002737,0.00002550,0.00002683,6031203935598.00,160291738.57321940,297957
1648857600000,2022-04-02 00:00:00,SHIB/USDT,0.00002615,0.00002750,0.00002570,0.00002582,9388735708266.00,250743232.39561221,452646
1648771200000,2022-04-01 00:00:00,SHIB/USDT,0.00002584,0.00002650,0.00002458,0.00002614,7918586384278.00,203136386.37572220,361237
1648684800000,2022-03-31 00:00:00,SHIB/USDT,0.00002745,0.00002809,0.00002548,0.00002585,9357366814095.00,251127388.20216230,399092
1648598400000,2022-03-30 00:00:00,SHIB/USDT,0.00002735,0.00002866,0.00002617,0.00002744,10292358352347.00,282181997.85153029,474380
1648512000000,2022-03-29 00:00:00,SHIB/USDT,0.00002652,0.00002844,0.00002635,0.00002736,11937993341335.00,326438664.91733443,543647
1648425600000,2022-03-28 00:00:00,SHIB/USDT,0.00002557,0.00002966,0.00002527,0.00002653,23175961783807.00,642182052.63010009,1096347
1648339200000,2022-03-27 00:00:00,SHIB/USDT,0.00002441,0.00002567,0.00002414,0.00002557,7035606517160.00,174705889.76712951,273607
1648252800000,2022-03-26 00:00:00,SHIB/USDT,0.00002412,0.00002474,0.00002389,0.00002442,3668048607521.00,89353033.04584519,146279
1648166400000,2022-03-25 00:00:00,SHIB/USDT,0.00002469,0.00002542,0.00002352,0.00002412,8492467652406.00,209051596.23213545,315944
1648080000000,2022-03-24 00:00:00,SHIB/USDT,0.00002441,0.00002535,0.00002404,0.00002468,9304879663259.00,229764408.83296306,375399
1647993600000,2022-03-23 00:00:00,SHIB/USDT,0.00002344,0.00002510,0.00002306,0.00002442,9036438627405.00,216740268.51100229,332746
1647907200000,2022-03-22 00:00:00,SHIB/USDT,0.00002293,0.00002406,0.00002289,0.00002345,7380493644921.00,174211324.22816482,251002
1647820800000,2022-03-21 00:00:00,SHIB/USDT,0.00002311,0.00002347,0.00002230,0.00002292,5484288899082.00,125782409.09502433,199822
1647734400000,2022-03-20 00:00:00,SHIB/USDT,0.00002412,0.00002446,0.00002253,0.00002311,8610233047747.00,202081734.96792009,299779
1647648000000,2022-03-19 00:00:00,SHIB/USDT,0.00002234,0.00002555,0.00002218,0.00002413,14573535480155.00,350366675.31269023,586796
1647561600000,2022-03-18 00:00:00,SHIB/USDT,0.00002217,0.00002267,0.00002165,0.00002233,5025429692630.00,110941870.16507979,188372
1647475200000,2022-03-17 00:00:00,SHIB/USDT,0.00002273,0.00002281,0.00002206,0.00002218,4181968881923.00,93948557.06436217,155465
1647388800000,2022-03-16 00:00:00,SHIB/USDT,0.00002161,0.00002275,0.00002150,0.00002273,6407012878302.00,141163851.77548205,225996
1647302400000,2022-03-15 00:00:00,SHIB/USDT,0.00002203,0.00002212,0.00002124,0.00002162,3840480904604.00,83128654.90442985,155956
1647216000000,2022-03-14 00:00:00,SHIB/USDT,0.00002150,0.00002247,0.00002128,0.00002202,4461484140960.00,97380392.07320704,164773
1647129600000,2022-03-13 00:00:00,SHIB/USDT,0.00002213,0.00002328,0.00002120,0.00002150,4989808629966.00,111150786.21490944,188805
1647043200000,2022-03-12 00:00:00,SHIB/USDT,0.00002206,0.00002273,0.00002201,0.00002213,3129075300132.00,69915857.08465195,121616
1646956800000,2022-03-11 00:00:00,SHIB/USDT,0.00002260,0.00002312,0.00002187,0.00002205,5938952440169.00,133055656.88920426,244993
1646870400000,2022-03-10 00:00:00,SHIB/USDT,0.00002384,0.00002390,0.00002235,0.00002260,6624736390229.00,151491941.25129023,301427
1646784000000,2022-03-09 00:00:00,SHIB/USDT,0.00002291,0.00002460,0.00002287,0.00002385,7043230643998.00,168893976.69229114,303534
1646697600000,2022-03-08 00:00:00,SHIB/USDT,0.00002279,0.00002355,0.00002248,0.00002291,4986047516070.00,115079422.15560783,184066
1646611200000,2022-03-07 00:00:00,SHIB/USDT,0.00002352,0.00002388,0.00002218,0.00002280,6560826061890.00,151671634.28701982,299632
1646524800000,2022-03-06 00:00:00,SHIB/USDT,0.00002462,0.00002480,0.00002341,0.00002352,4414630243609.00,105646423.19272713,173278
1646438400000,2022-03-05 00:00:00,SHIB/USDT,0.00002358,0.00002499,0.00002310,0.00002462,5035468153658.00,121781863.99504179,223896
1646352000000,2022-03-04 00:00:00,SHIB/USDT,0.00002506,0.00002526,0.00002305,0.00002358,7666077240403.00,186869973.86932054,272162
1646265600000,2022-03-03 00:00:00,SHIB/USDT,0.00002591,0.00002618,0.00002445,0.00002506,7046341342356.00,178921854.66832435,270461
1646179200000,2022-03-02 00:00:00,SHIB/USDT,0.00002713,0.00002719,0.00002552,0.00002590,10182047088383.00,268761414.71250561,398899
1646092800000,2022-03-01 00:00:00,SHIB/USDT,0.00002580,0.00002861,0.00002534,0.00002713,15259271232127.00,406305959.90552001,674685
1646006400000,2022-02-28 00:00:00,SHIB/USDT,0.00002343,0.00002600,0.00002280,0.00002579,11816707981977.00,289610873.94368961,403004
1645920000000,2022-02-27 00:00:00,SHIB/USDT,0.00002445,0.00002502,0.00002306,0.00002342,9268099878622.00,222283493.58576995,309564
1645833600000,2022-02-26 00:00:00,SHIB/USDT,0.00002488,0.00002595,0.00002420,0.00002444,8101142463609.00,201287638.63557659,308411
1645747200000,2022-02-25 00:00:00,SHIB/USDT,0.00002385,0.00002509,0.00002302,0.00002488,13528494448667.00,327100575.57892701,466097
1645660800000,2022-02-24 00:00:00,SHIB/USDT,0.00002486,0.00002532,0.00002071,0.00002384,29891042605376.00,681050991.69576720,991239
1645574400000,2022-02-23 00:00:00,SHIB/USDT,0.00002495,0.00002740,0.00002457,0.00002486,14197749061908.00,368983237.46464554,595644
1645488000000,2022-02-22 00:00:00,SHIB/USDT,0.00002404,0.00002527,0.00002310,0.00002495,11289730166885.00,273583797.38848272,398263
1645401600000,2022-02-21 00:00:00,SHIB/USDT,0.00002547,0.00002755,0.00002392,0.00002405,14980148181281.00,391464225.25504865,619442
1645315200000,2022-02-20 00:00:00,SHIB/USDT,0.00002748,0.00002760,0.00002489,0.00002547,8355800773126.00,214329799.21826132,399849
1645228800000,2022-02-19 00:00:00,SHIB/USDT,0.00002811,0.00002895,0.00002692,0.00002749,5856789978190.00,163525669.32223125,304368
1645142400000,2022-02-18 00:00:00,SHIB/USDT,0.00002820,0.00002996,0.00002780,0.00002810,9542971162745.00,274037019.81913757,427901
1645056000000,2022-02-17 00:00:00,SHIB/USDT,0.00003092,0.00003253,0.00002770,0.00002820,14652599105651.00,443995914.69207374,748238
1644969600000,2022-02-16 00:00:00,SHIB/USDT,0.00003125,0.00003160,0.00002990,0.00003092,7378826484346.00,226347192.30204700,421597
