unix,date,symbol,open,high,low,close,Volume ZIL,Volume USDT,tradecount
1650067200000,2022-04-16 00:00:00,ZIL/USDT,0.11074000,0.11321000,0.10850000,0.11035000,447611099.00000000,49654831.08337600,124708
1649980800000,2022-04-15 00:00:00,ZIL/USDT,0.11471000,0.11529000,0.10806000,0.11072000,748260044.80000000,83518461.06387900,263535
1649894400000,2022-04-14 00:00:00,ZIL/USDT,0.11124000,0.12735000,0.10939000,0.11472000,2252886033.60000000,268014527.48962300,673742
1649808000000,2022-04-13 00:00:00,ZIL/USDT,0.10744000,0.11255000,0.10308000,0.11123000,707842058.20000000,76458369.93010400,248076
1649721600000,2022-04-12 00:00:00,ZIL/USDT,0.11043000,0.11292000,0.10361000,0.10744000,1046050561.20000000,113777608.84319800,350369
1649635200000,2022-04-11 00:00:00,ZIL/USDT,0.11908000,0.13082000,0.10874000,0.11041000,2205061019.20000000,268510883.89328100,647713
1649548800000,2022-04-10 00:00:00,ZIL/USDT,0.12030000,0.12663000,0.11693000,0.11908000,1012067073.90000000,123042003.52910500,290838
1649462400000,2022-04-09 00:00:00,ZIL/USDT,0.12020000,0.12157000,0.11465000,0.12027000,815821888.70000000,96301073.70382000,250846
1649376000000,2022-04-08 00:00:00,ZIL/USDT,0.13384000,0.13753000,0.11782000,0.12020000,1268019347.20000000,161761336.29072400,406206
1649289600000,2022-04-07 00:00:00,ZIL/USDT,0.13188000,0.13640000,0.12035000,0.13385000,1645883177.00000000,208448218.50381500,514324
1649203200000,2022-04-06 00:00:00,ZIL/USDT,0.12433000,0.14301000,0.12189000,0.13195000,3840159602.10000000,510289296.35192000,1145009
1649116800000,2022-04-05 00:00:00,ZIL/USDT,0.14108000,0.14434000,0.12254000,0.12435000,1961395938.20000000,262410832.85221300,593564
1649030400000,2022-04-04 00:00:00,ZIL/USDT,0.15400000,0.16411000,0.13525000,0.14105000,2559205784.70000000,383563887.76726700,809358
1648944000000,2022-04-03 00:00:00,ZIL/USDT,0.16669000,0.17529000,0.14835000,0.15400000,2543353659.70000000,411544067.22449300,884718
1648857600000,2022-04-02 00:00:00,ZIL/USDT,0.18454000,0.20887000,0.16290000,0.16668000,3155167971.40000000,586317517.99172600,1156782
1648771200000,2022-04-01 00:00:00,ZIL/USDT,0.17958000,0.23070000,0.17603000,0.18452000,5199857701.60000000,1049941077.27888400,1974703
1648684800000,2022-03-31 00:00:00,ZIL/USDT,0.18013000,0.22153000,0.17263000,0.17958000,6732946994.70000000,1307871115.35841900,2323950
1648598400000,2022-03-30 00:00:00,ZIL/USDT,0.10280000,0.18500000,0.09816000,0.18013000,7638846978.60000000,1149797311.72490800,2609192
1648512000000,2022-03-29 00:00:00,ZIL/USDT,0.09930000,0.10760000,0.09633000,0.10279000,1413376441.90000000,143564735.70200200,410929
1648425600000,2022-03-28 00:00:00,ZIL/USDT,0.10628000,0.12177000,0.09744000,0.09925000,3278826362.00000000,356070165.70565100,803727
1648339200000,2022-03-27 00:00:00,ZIL/USDT,0.09523000,0.12528000,0.08468000,0.10624000,7833651465.90000000,807742454.60156200,1956913
1648252800000,2022-03-26 00:00:00,ZIL/USDT,0.04786000,0.09700000,0.04763000,0.09558000,3791261649.90000000,269867081.14109000,883045
1648166400000,2022-03-25 00:00:00,ZIL/USDT,0.04942000,0.05085000,0.04683000,0.04787000,157081875.40000000,7713427.56118900,41680
1648080000000,2022-03-24 00:00:00,ZIL/USDT,0.04905000,0.05000000,0.04756000,0.04944000,177318021.60000000,8662481.10881500,43358
1647993600000,2022-03-23 00:00:00,ZIL/USDT,0.04499000,0.04995000,0.04480000,0.04903000,262709412.00000000,12518034.52681200,61155
1647907200000,2022-03-22 00:00:00,ZIL/USDT,0.04331000,0.04750000,0.04310000,0.04501000,237796299.20000000,10748676.83799700,48237
1647820800000,2022-03-21 00:00:00,ZIL/USDT,0.04264000,0.04423000,0.04107000,0.04331000,133314497.80000000,5718411.47434300,30817
1647734400000,2022-03-20 00:00:00,ZIL/USDT,0.04399000,0.04499000,0.04197000,0.04266000,138931851.20000000,6048654.51564600,31198
1647648000000,2022-03-19 00:00:00,ZIL/USDT,0.04233000,0.04442000,0.04227000,0.04400000,151626425.20000000,6592266.75607800,32684
1647561600000,2022-03-18 00:00:00,ZIL/USDT,0.04118000,0.04280000,0.04024000,0.04234000,114490909.70000000,4731471.09481700,24939
1647475200000,2022-03-17 00:00:00,ZIL/USDT,0.04109000,0.04244000,0.04045000,0.04118000,101218082.50000000,4186273.15259100,22926
1647388800000,2022-03-16 00:00:00,ZIL/USDT,0.03981000,0.04126000,0.03891000,0.04109000,139680528.50000000,5586165.18738100,30816
1647302400000,2022-03-15 00:00:00,ZIL/USDT,0.03943000,0.04003000,0.03805000,0.03983000,115183354.40000000,4500963.82745900,23735
1647216000000,2022-03-14 00:00:00,ZIL/USDT,0.03854000,0.03989000,0.03803000,0.03943000,109424046.70000000,4263378.76804100,23671
1647129600000,2022-03-13 00:00:00,ZIL/USDT,0.04058000,0.04142000,0.03842000,0.03853000,110399478.20000000,4421481.27671800,24734
1647043200000,2022-03-12 00:00:00,ZIL/USDT,0.04057000,0.04202000,0.04039000,0.04056000,158723357.20000000,6545261.91889600,37213
1646956800000,2022-03-11 00:00:00,ZIL/USDT,0.04225000,0.04229000,0.03990000,0.04057000,263808564.50000000,10791777.01274100,53105
1646870400000,2022-03-10 00:00:00,ZIL/USDT,0.04137000,0.04420000,0.03913000,0.04225000,566361300.00000000,23651094.37308400,113308
1646784000000,2022-03-09 00:00:00,ZIL/USDT,0.03921000,0.04215000,0.03911000,0.04139000,205735470.70000000,8468795.49819100,43604
1646697600000,2022-03-08 00:00:00,ZIL/USDT,0.03792000,0.03965000,0.03765000,0.03923000,125123063.10000000,4855233.19738200,30618
1646611200000,2022-03-07 00:00:00,ZIL/USDT,0.03798000,0.03998000,0.03655000,0.03790000,180749051.60000000,6882447.93296200,40124
1646524800000,2022-03-06 00:00:00,ZIL/USDT,0.03988000,0.04050000,0.03778000,0.03796000,101236455.10000000,3929002.42450800,22294
1646438400000,2022-03-05 00:00:00,ZIL/USDT,0.03869000,0.04019000,0.03762000,0.03987000,81831672.90000000,3205668.49380200,19525
1646352000000,2022-03-04 00:00:00,ZIL/USDT,0.04196000,0.04214000,0.03807000,0.03869000,128186446.10000000,5156612.91893000,30529
1646265600000,2022-03-03 00:00:00,ZIL/USDT,0.04302000,0.04387000,0.04094000,0.04200000,131544474.30000000,5574427.92700900,28447
1646179200000,2022-03-02 00:00:00,ZIL/USDT,0.04414000,0.04440000,0.04191000,0.04301000,138334235.90000000,5975085.46827000,29209
1646092800000,2022-03-01 00:00:00,ZIL/USDT,0.04320000,0.04586000,0.04297000,0.04413000,231699081.90000000,10267145.56626000,46949
1646006400000,2022-02-28 00:00:00,ZIL/USDT,0.03902000,0.04326000,0.03824000,0.04320000,134735750.40000000,5466286.89002200,26416
1645920000000,2022-02-27 00:00:00,ZIL/USDT,0.04103000,0.04181000,0.03812000,0.03902000,126717757.90000000,5072577.61047000,24839
1645833600000,2022-02-26 00:00:00,ZIL/USDT,0.04090000,0.04248000,0.04047000,0.04100000,108815624.20000000,4488282.25211600,22099
1645747200000,2022-02-25 00:00:00,ZIL/USDT,0.03819000,0.04139000,0.03772000,0.04092000,154908077.30000000,6082893.96689700,27265
1645660800000,2022-02-24 00:00:00,ZIL/USDT,0.03889000,0.03921000,0.03317000,0.03819000,336569228.30000000,12020801.44110500,60281
1645574400000,2022-02-23 00:00:00,ZIL/USDT,0.04078000,0.04224000,0.03866000,0.03888000,143505637.30000000,5830949.85320600,25096
1645488000000,2022-02-22 00:00:00,ZIL/USDT,0.03956000,0.04089000,0.03815000,0.04080000,214770809.40000000,8496304.31955700,34694
1645401600000,2022-02-21 00:00:00,ZIL/USDT,0.04339000,0.04546000,0.03931000,0.03958000,200976273.60000000,8613165.23474800,40826
1645315200000,2022-02-20 00:00:00,ZIL/USDT,0.04610000,0.04611000,0.04267000,0.04340000,132604092.40000000,5812529.54249400,27835
1645228800000,2022-02-19 00:00:00,ZIL/USDT,0.04611000,0.04709000,0.04458000,0.04606000,88632722.50000000,4073814.20716400,20201
1645142400000,2022-02-18 00:00:00,ZIL/USDT,0.04656000,0.04790000,0.04522000,0.04611000,131105501.80000000,6087771.28486600,28537
1645056000000,2022-02-17 00:00:00,ZIL/USDT,0.05115000,0.05184000,0.04575000,0.04654000,155082575.80000000,7568305.53484700,34238
1644969600000,2022-02-16 00:00:00,ZIL/USDT,0.05150000,0.05177000,0.04923000,0.05108000,133700582.60000000,6782253.50824400,29270
1644883200000,2022-02-15 00:00:00,ZIL/USDT,0.04819000,0.05156000,0.04811000,0.05148000,114676359.00000000,5751609.91313100,25487
1644796800000,2022-02-14 00:00:00,ZIL/USDT,0.04769000,0.04857000,0.04605000,0.04814000,111869058.10000000,5300012.96788800,25484
1644710400000,2022-02-13 00:00:00,ZIL/USDT,0.04899000,0.04945000,0.04668000,0.04768000,93880368.40000000,4546559.16666000,23078
1644624000000,2022-02-12 00:00:00,ZIL/USDT,0.04911000,0.04981000,0.04667000,0.04899000,140920825.30000000,6831030.00885000,32007
1644537600000,2022-02-11 00:00:00,ZIL/USDT,0.05335000,0.05456000,0.04831000,0.04910000,189603859.50000000,9881978.00020600,39726
1644451200000,2022-02-10 00:00:00,ZIL/USDT,0.05705000,0.05756000,0.05300000,0.05333000,178663554.30000000,9887427.52806700,40513
1644364800000,2022-02-09 00:00:00,ZIL/USDT,0.05547000,0.05780000,0.05389000,0.05705000,146709444.20000000,8189677.53330100,33509
1644278400000,2022-02-08 00:00:00,ZIL/USDT,0.05746000,0.05901000,0.05351000,0.05545000,255188772.40000000,14272785.97921500,56362
1644192000000,2022-02-07 00:00:00,ZIL/USDT,0.05323000,0.05877000,0.05191000,0.05744000,297498600.60000000,16738112.02885100,72207
1644105600000,2022-02-06 00:00:00,ZIL/USDT,0.05131000,0.05356000,0.05039000,0.05323000,194048944.60000000,10082108.81791800,41564
1644019200000,2022-02-05 00:00:00,ZIL/USDT,0.04988000,0.05336000,0.04906000,0.05131000,238444328.70000000,12196669.09398300,53009
1643932800000,2022-02-04 00:00:00,ZIL/USDT,0.04518000,0.05023000,0.04480000,0.04989000,370233416.40000000,17956958.46257200,73760
1643846400000,2022-02-03 00:00:00,ZIL/USDT,0.04405000,0.04523000,0.04265000,0.04522000,129876310.00000000,5698780.65589000,25762
1643760000000,2022-02-02 00:00:00,ZIL/USDT,0.04552000,0.04711000,0.04366000,0.04405000,147823691.10000000,6737656.82581200,32703
