unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1649808000000,2022-04-13 00:00:00,XLM/USDT,0.19250000,0.19720000,0.19060000,0.19650000,50021534.00000000,9702355.65750000,36108
1649721600000,2022-04-12 00:00:00,XLM/USDT,0.18670000,0.19390000,0.18580000,0.19250000,53887432.00000000,10263521.91320000,40842
1649635200000,2022-04-11 00:00:00,XLM/USDT,0.20040000,0.20110000,0.18540000,0.18670000,76538397.00000000,14688974.67250000,54858
1649548800000,2022-04-10 00:00:00,XLM/USDT,0.20490000,0.20780000,0.20000000,0.20040000,34446897.00000000,7051945.34770000,26658
1649462400000,2022-04-09 00:00:00,XLM/USDT,0.20210000,0.20610000,0.20050000,0.20490000,40761883.00000000,8295197.46550000,29420
1649376000000,2022-04-08 00:00:00,XLM/USDT,0.21260000,0.22220000,0.20010000,0.20210000,78044375.00000000,16353157.80580000,52265
1649289600000,2022-04-07 00:00:00,XLM/USDT,0.20310000,0.21460000,0.20060000,0.21260000,56016188.00000000,11694355.50610000,46365
1649203200000,2022-04-06 00:00:00,XLM/USDT,0.22480000,0.22540000,0.20210000,0.20310000,100822459.00000000,21546564.99420000,81409
1649116800000,2022-04-05 00:00:00,XLM/USDT,0.23190000,0.23410000,0.22370000,0.22480000,62286265.00000000,14285495.93700000,48150
1649030400000,2022-04-04 00:00:00,XLM/USDT,0.23710000,0.23710000,0.22650000,0.23190000,77806493.00000000,18061978.37040000,51853
1648944000000,2022-04-03 00:00:00,XLM/USDT,0.23310000,0.23830000,0.23020000,0.23700000,58098619.00000000,13593389.86010000,40817
1648857600000,2022-04-02 00:00:00,XLM/USDT,0.23250000,0.24040000,0.23010000,0.23310000,88177287.00000000,20690716.34990000,65440
1648771200000,2022-04-01 00:00:00,XLM/USDT,0.22820000,0.23280000,0.22100000,0.23250000,111618785.00000000,25371506.91400000,66281
1648684800000,2022-03-31 00:00:00,XLM/USDT,0.23470000,0.24170000,0.22610000,0.22830000,158407090.00000000,37101335.99710000,97956
1648598400000,2022-03-30 00:00:00,XLM/USDT,0.23320000,0.23750000,0.22620000,0.23470000,104708039.00000000,24418109.52190000,66110
1648512000000,2022-03-29 00:00:00,XLM/USDT,0.22960000,0.23970000,0.22860000,0.23310000,105823792.00000000,24830505.79300000,69643
1648425600000,2022-03-28 00:00:00,XLM/USDT,0.22970000,0.24120000,0.22790000,0.22980000,162990916.00000000,38292876.34570000,108246
1648339200000,2022-03-27 00:00:00,XLM/USDT,0.21570000,0.23150000,0.21440000,0.22970000,93631971.00000000,20817004.91190000,75106
1648252800000,2022-03-26 00:00:00,XLM/USDT,0.21120000,0.21580000,0.20900000,0.21570000,41830366.00000000,8880548.90070000,30120
1648166400000,2022-03-25 00:00:00,XLM/USDT,0.21490000,0.22060000,0.21010000,0.21120000,101528533.00000000,21879229.21360000,66974
1648080000000,2022-03-24 00:00:00,XLM/USDT,0.20950000,0.21670000,0.20640000,0.21490000,88331341.00000000,18679293.92110000,59744
1647993600000,2022-03-23 00:00:00,XLM/USDT,0.20690000,0.21160000,0.20410000,0.20940000,73064131.00000000,15153368.89400000,48800
1647907200000,2022-03-22 00:00:00,XLM/USDT,0.20370000,0.21310000,0.20140000,0.20690000,96216225.00000000,19962286.01460000,59671
1647820800000,2022-03-21 00:00:00,XLM/USDT,0.19720000,0.20420000,0.19240000,0.20380000,68309720.00000000,13589376.87540000,44743
1647734400000,2022-03-20 00:00:00,XLM/USDT,0.20030000,0.20210000,0.19170000,0.19720000,55386898.00000000,10908521.95420000,36413
1647648000000,2022-03-19 00:00:00,XLM/USDT,0.19280000,0.20070000,0.19050000,0.20030000,51707421.00000000,10117049.51720000,37784
1647561600000,2022-03-18 00:00:00,XLM/USDT,0.18970000,0.19370000,0.18500000,0.19280000,54919977.00000000,10393958.99510000,33427
