unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1645747200000,2022-02-25 00:00:00,EOS/USDT,2.07000000,2.16400000,2.03100000,2.14700000,16347852.80000000,34167468.32380000,74074
1645660800000,2022-02-24 00:00:00,EOS/USDT,2.10400000,2.12400000,1.86000000,2.07000000,41371203.61000000,81438830.66150600,171296
1645574400000,2022-02-23 00:00:00,EOS/USDT,2.16600000,2.23200000,2.10100000,2.10400000,12395603.20000000,26985983.35110000,59182
1645488000000,2022-02-22 00:00:00,EOS/USDT,2.07200000,2.17900000,2.03000000,2.16700000,16132425.10000000,33973669.60720000,71433
1645401600000,2022-02-21 00:00:00,EOS/USDT,2.19800000,2.27500000,2.06300000,2.07300000,22739141.00000000,50036904.24810000,100163
1645315200000,2022-02-20 00:00:00,EOS/USDT,2.28800000,2.29800000,2.16800000,2.19900000,12410676.90000000,27456737.74710000,63146
1645228800000,2022-02-19 00:00:00,EOS/USDT,2.29500000,2.33700000,2.22800000,2.28800000,11509082.90000000,26296948.08400000,63996
1645142400000,2022-02-18 00:00:00,EOS/USDT,2.32700000,2.38100000,2.27300000,2.29500000,12205237.40000000,28421075.06900000,69195
1645056000000,2022-02-17 00:00:00,EOS/USDT,2.55000000,2.58200000,2.29100000,2.32700000,13175061.60000000,32149312.14210000,87218
1644969600000,2022-02-16 00:00:00,EOS/USDT,2.53000000,2.58000000,2.46100000,2.54900000,11140585.10000000,27972550.50770000,80919
1644883200000,2022-02-15 00:00:00,EOS/USDT,2.37000000,2.53800000,2.36500000,2.53000000,7038557.50000000,17303074.32230000,51849
1644796800000,2022-02-14 00:00:00,EOS/USDT,2.38000000,2.39600000,2.31000000,2.37000000,6127058.50000000,14414454.54970000,44508
1644710400000,2022-02-13 00:00:00,EOS/USDT,2.39600000,2.43200000,2.34800000,2.37900000,6117220.60000000,14655216.33820000,42048
1644624000000,2022-02-12 00:00:00,EOS/USDT,2.41200000,2.43600000,2.33300000,2.39500000,7831693.80000000,18725369.16280000,60351
1644537600000,2022-02-11 00:00:00,EOS/USDT,2.54800000,2.60100000,2.38400000,2.41300000,13008241.40000000,32920259.25850000,87159
1644451200000,2022-02-10 00:00:00,EOS/USDT,2.66900000,2.76700000,2.54600000,2.54800000,17084011.90000000,45432213.68590000,129829
1644364800000,2022-02-09 00:00:00,EOS/USDT,2.63200000,2.69800000,2.58700000,2.67000000,9825830.50000000,26057143.14050000,66042
1644278400000,2022-02-08 00:00:00,EOS/USDT,2.69600000,2.76800000,2.54000000,2.63100000,20001791.30000000,52856253.07370000,138932
1644192000000,2022-02-07 00:00:00,EOS/USDT,2.53700000,2.72000000,2.49000000,2.69600000,16566638.20000000,43272994.15370000,130413
1644105600000,2022-02-06 00:00:00,EOS/USDT,2.47700000,2.55000000,2.43200000,2.53800000,8062982.90000000,20068441.99040000,63078
1644019200000,2022-02-05 00:00:00,EOS/USDT,2.48000000,2.56100000,2.44200000,2.47700000,11823024.90000000,29448330.70330000,82598
1643932800000,2022-02-04 00:00:00,EOS/USDT,2.31100000,2.48700000,2.29000000,2.48000000,16396539.50000000,39174909.25850000,97796
1643846400000,2022-02-03 00:00:00,EOS/USDT,2.27600000,2.31400000,2.22900000,2.31100000,9848697.90000000,22376163.76880000,57141
1643760000000,2022-02-02 00:00:00,EOS/USDT,2.35500000,2.46000000,2.26100000,2.27600000,12686464.80000000,30067361.44540000,90026
1643673600000,2022-02-01 00:00:00,EOS/USDT,2.33700000,2.37300000,2.30900000,2.35500000,8702604.50000000,20362055.99690000,57152
1643587200000,2022-01-31 00:00:00,EOS/USDT,2.31600000,2.35000000,2.20600000,2.33700000,9387635.10000000,21446346.91870000,65273
1643500800000,2022-01-30 00:00:00,EOS/USDT,2.33700000,2.36800000,2.26000000,2.31700000,7808575.20000000,18136304.32960000,55077
1643414400000,2022-01-29 00:00:00,EOS/USDT,2.30900000,2.37900000,2.28900000,2.33600000,8231433.90000000,19169573.62480000,62011
