unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1647475200000,2022-03-17 00:00:00,BAT/USDT,0.82330000,0.88840000,0.81760000,0.84920000,23546606.00000000,20188910.27220000,86703
1647388800000,2022-03-16 00:00:00,BAT/USDT,0.78450000,0.84800000,0.77800000,0.82330000,40509214.00000000,32987474.13320000,137448
1647302400000,2022-03-15 00:00:00,BAT/USDT,0.72010000,0.80860000,0.70080000,0.78460000,44060950.00000000,33290731.28440000,130901
1647216000000,2022-03-14 00:00:00,BAT/USDT,0.67480000,0.72540000,0.66170000,0.72010000,19528376.00000000,13586463.17070000,57238
1647129600000,2022-03-13 00:00:00,BAT/USDT,0.66280000,0.74000000,0.66000000,0.67450000,36534330.00000000,25933372.83120000,115764
1647043200000,2022-03-12 00:00:00,BAT/USDT,0.65360000,0.70850000,0.65200000,0.66270000,16235601.00000000,11097462.91690000,49362
1646956800000,2022-03-11 00:00:00,BAT/USDT,0.68780000,0.68840000,0.64370000,0.65380000,11606878.00000000,7736223.70170000,36822
1646870400000,2022-03-10 00:00:00,BAT/USDT,0.68560000,0.72370000,0.63520000,0.68750000,25896069.00000000,17603669.76820000,80426
1646784000000,2022-03-09 00:00:00,BAT/USDT,0.65780000,0.69230000,0.65140000,0.68550000,11036734.00000000,7466198.40430000,32003
1646697600000,2022-03-08 00:00:00,BAT/USDT,0.63130000,0.66580000,0.62780000,0.65770000,9323492.00000000,6041891.32750000,23928
1646611200000,2022-03-07 00:00:00,BAT/USDT,0.63900000,0.66830000,0.61450000,0.63120000,10794918.00000000,6875689.46450000,25637
1646524800000,2022-03-06 00:00:00,BAT/USDT,0.67450000,0.67920000,0.63650000,0.63910000,8361735.00000000,5473308.16630000,20373
1646438400000,2022-03-05 00:00:00,BAT/USDT,0.65750000,0.67930000,0.64000000,0.67490000,8539457.00000000,5655411.05850000,20958
1646352000000,2022-03-04 00:00:00,BAT/USDT,0.71130000,0.71530000,0.64560000,0.65700000,13771235.00000000,9349436.52510000,33584
1646265600000,2022-03-03 00:00:00,BAT/USDT,0.73120000,0.73790000,0.68970000,0.71180000,11237566.00000000,8028905.65480000,29471
1646179200000,2022-03-02 00:00:00,BAT/USDT,0.75490000,0.76570000,0.71930000,0.73120000,14537316.00000000,10765311.28780000,38864
1646092800000,2022-03-01 00:00:00,BAT/USDT,0.74120000,0.76660000,0.72690000,0.75480000,13545661.00000000,10123188.19150000,36996
1646006400000,2022-02-28 00:00:00,BAT/USDT,0.66830000,0.74220000,0.65740000,0.74180000,12922808.00000000,9004035.87360000,37114
1645920000000,2022-02-27 00:00:00,BAT/USDT,0.70290000,0.71180000,0.65080000,0.66820000,13177591.00000000,8986457.22590000,35732
1645833600000,2022-02-26 00:00:00,BAT/USDT,0.70280000,0.72840000,0.69190000,0.70270000,10255101.00000000,7255733.47130000,33308
1645747200000,2022-02-25 00:00:00,BAT/USDT,0.65890000,0.71120000,0.64990000,0.70260000,16606241.00000000,11230224.63460000,46626
1645660800000,2022-02-24 00:00:00,BAT/USDT,0.65500000,0.66870000,0.56710000,0.65900000,28820627.00000000,17486461.42114800,66372
1645574400000,2022-02-23 00:00:00,BAT/USDT,0.68200000,0.71170000,0.65280000,0.65450000,11762256.00000000,8075326.06530000,29333
1645488000000,2022-02-22 00:00:00,BAT/USDT,0.64440000,0.68620000,0.62870000,0.68220000,15909813.00000000,10478964.09720000,36371
1645401600000,2022-02-21 00:00:00,BAT/USDT,0.70270000,0.73930000,0.63970000,0.64450000,21066394.00000000,14644746.05040000,48482
1645315200000,2022-02-20 00:00:00,BAT/USDT,0.75960000,0.76040000,0.69250000,0.70270000,11819130.00000000,8475445.99230000,30311
1645228800000,2022-02-19 00:00:00,BAT/USDT,0.75120000,0.76980000,0.73170000,0.75910000,8924112.00000000,6704624.29070000,23691
1645142400000,2022-02-18 00:00:00,BAT/USDT,0.76010000,0.78890000,0.74130000,0.75110000,11131628.00000000,8498676.87070000,26844
1645056000000,2022-02-17 00:00:00,BAT/USDT,0.83590000,0.84590000,0.75300000,0.75990000,12296011.00000000,9808468.82430000,32212
1644969600000,2022-02-16 00:00:00,BAT/USDT,0.85980000,0.86230000,0.81290000,0.83590000,7257196.00000000,6063054.51290000,23149
1644883200000,2022-02-15 00:00:00,BAT/USDT,0.80590000,0.86260000,0.80590000,0.85940000,5634208.00000000,4722384.07210000,19043
1644796800000,2022-02-14 00:00:00,BAT/USDT,0.80390000,0.81620000,0.77400000,0.80560000,7378109.00000000,5866112.79530000,21640
1644710400000,2022-02-13 00:00:00,BAT/USDT,0.81010000,0.82740000,0.77880000,0.80350000,6698134.00000000,5414824.88160000,17944
1644624000000,2022-02-12 00:00:00,BAT/USDT,0.82490000,0.83320000,0.78300000,0.80950000,9304947.00000000,7500043.55490000,25557
1644537600000,2022-02-11 00:00:00,BAT/USDT,0.88190000,0.89280000,0.81570000,0.82540000,12095625.00000000,10448901.88680000,31619
1644451200000,2022-02-10 00:00:00,BAT/USDT,0.94120000,0.95010000,0.87500000,0.88210000,13897095.00000000,12715066.96340000,41022
1644364800000,2022-02-09 00:00:00,BAT/USDT,0.92260000,0.95370000,0.89950000,0.94120000,9950058.00000000,9246328.79620000,30617
1644278400000,2022-02-08 00:00:00,BAT/USDT,0.96870000,0.97910000,0.88260000,0.92260000,16681416.00000000,15353418.30530000,51543
1644192000000,2022-02-07 00:00:00,BAT/USDT,0.94150000,0.98710000,0.91500000,0.96820000,13678856.00000000,13065386.21640000,49570
1644105600000,2022-02-06 00:00:00,BAT/USDT,0.92380000,0.94500000,0.89740000,0.94190000,9013413.00000000,8344739.89600000,31864
1644019200000,2022-02-05 00:00:00,BAT/USDT,0.90120000,0.95550000,0.89000000,0.92440000,13778668.00000000,12814110.96000000,46831
1643932800000,2022-02-04 00:00:00,BAT/USDT,0.82700000,0.90250000,0.81950000,0.90050000,14813690.00000000,12709041.77940000,44982
