pair,cmo_period,oversold_value,overbought_value,entry_size,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
ETH_USDT,10,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,12.418200617776503,2.4182006177765025,-49.80954854862881,0,0,0,0,0
DOGE_USDT,10,-50,50,1.0,10,14.22074762292117,4.22074762292117,-10.500621684717016,1.932699325956496,4.538022139537727,-0.10332474848720535,0.1609802605875565,0.0,10,55.27038376441621,45.27038376441621,-56.16342832568615,1,1,0,0,2
ETH_BTC,10,-50,50,1.0,10,11.633644411219999,1.6336444112199988,-1.9844501288735557,3.3568522574135233,7.689669858289802,0.1733415003490693,0.11292102879221252,0.0,10,19.45679428571428,9.456794285714281,-25.8897760701647,2,2,0,0,4
XRP_USDT,10,-50,50,1.0,10,8.196125339135337,-1.803874660864663,-27.223580121928848,-0.9782781910833072,-1.1626037833834018,-0.7768472495061616,0.14931943090206282,0.0,10,15.522552307755447,5.5225523077554435,-56.9043448307352,5,0,0,0,5
TRX_USDT,10,-50,50,1.0,10,8.529313738685472,-1.470686261314528,-27.68824226855226,-0.8970730009062675,-1.1519700692083397,-0.5744725163030594,0.1585241828419496,0.0,10,11.830023921278745,1.8300239212787446,-61.78469257220579,4,0,0,0,4
BTC_USDC,10,-50,50,1.0,10,8.751134382599203,-1.2488656174007975,-17.767070120487293,-1.5744989994926326,-1.9735508981461725,-0.13009194717604197,0.21532777952997723,0.0,10,6.403660595790754,-3.596339404209246,-45.55248394551796,4,0,0,0,4
XRP_BTC,10,-50,50,1.0,10,28.529415834453594,18.529415834453594,-38.49892630061164,2.6479471974855713,5.68027513048315,0.560245876998479,0.926025730633183,0.0,10,24.325396825396826,14.32539682539683,-38.50094365057967,10,0,0,0,10
LTC_USDT,10,-50,50,1.0,10,8.163103778075001,-1.8368962219249987,-44.16547518651507,-0.5080343664704292,-0.6360689251093553,-0.33933483686239235,0.407241393771486,0.0,10,7.405184829665631,-2.5948151703343694,-63.30884063256029,6,0,0,0,6
SRM_USDT,10,-50,50,1.0,10,11.636494965260278,1.6364949652602778,-4.906456829354202,2.3377376324902186,4.58187458066624,0.3359489229572998,0.05454191458598431,0.0,10,8.426668438346258,-1.5733315616537418,-67.26533784647667,2,2,0,0,4
XMR_BTC,10,-50,50,1.0,10,10.212764353927676,0.21276435392767645,-1.0432748588147482,1.4188747255166783,2.3631256853142593,0.04448080272716185,0.006736995619180384,0.0,10,14.41726319129107,4.41726319129107,-34.41026353045606,2,2,0,0,4
LTC_BTC,10,-50,50,1.0,10,13.245961964607044,3.2459619646070443,-35.275070333806255,1.4013740288435104,2.0610762008472405,0.3914878218539716,0.7667614723805393,0.0,10,11.57416045326903,1.5741604532690303,-39.772932663996315,9,1,0,0,10
TRX_BTC,10,-50,50,1.0,10,19.799922514071206,9.799922514071206,-26.634163300342784,2.2917899113197864,4.697626073548084,0.43124373508849584,0.7942395699969399,0.0,10,18.440366972477065,8.440366972477065,-33.088235294117666,8,2,0,0,10
ETC_USDT,10,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,39.05804262106505,29.05804262106505,-63.96334162936509,0,0,0,0,0
ETH_USDC,10,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,12.464634665031928,2.4646346650319284,-49.586539629746625,0,0,0,0,0
